pool_id_bech32,epoch_no,active_stake_ada,saturation_pct,block_cnt,delegator_cnt,margin_rate,fixed_cost_ada,pool_fees_ada,deleg_rewards_ada,member_rewards_ada,owner_member_rewards_ada,total_pool_rewards_ada,epoch_ros,owner_stake_ada,ticker,pool_group,entity_id,display_name,is_mpo,pledge_tag,category,declared_pledge_ada,health_tag_current,owner_stake_ratio,pool_class,is_private,operator_take_ada,effective_fixed_cost_ada,margin_take_ada,delegator_pot_ada,operator_take_pct,fixed_cost_pct_of_reward,margin_pct_of_reward,delegated_stake_ada,deleg_yield_per_epoch_pct,operator_total_income_ada,effective_tax_pct,eff_entity_id
pool1smy2r8jdvgna5ykhe8rrch7h4qalyfafyzyh0rmanmq0jxptww7,614,23746479.501784,30.88,20,212,0.05,340.0,636.058207,5625.105933,5612.847591,12.258342,6261.16414,1.74406575,51066.610009,ZZZ3,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.002150491823647523,hollow,False,636.058207,340.0,296.058207,5625.105933,10.158785056224385,5.430300059183563,4.728484997040821,23695412.891775,0.02373921888887005,648.316549,10.158785056224385,YUTA
pool14mm59ntjqzphjr6chrww639cdr3yjce4qcwzc5jkk38y22u7uc6,614,35769709.695196,46.51,51,136,0.05,340.0,1121.694433,14852.194235,14830.805979,21.388256,15973.888668,3.076841227,51511.015326,ZZZ2,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.0014400736199689681,hollow,False,1121.694433,340.0,781.6944334,14852.194234999999,7.0220498985137905,2.128473580018819,4.893576320999059,35718198.67987,0.041581588052956246,1143.0826889999998,7.0220498985137905,YUTA
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,614,30775843.829403,40.02,37,22052,0.015,340.0,508.729417,11079.898352,10986.761012,93.13734,11588.627769,2.662495634,258697.987433,BERRY,,,,False,,,,,0.00840587796282752,hollow,False,508.729417,340.0,168.729416535,11079.898352,4.389902127677874,2.933910785447025,1.4559913382182945,30517145.84197,0.03630712521208946,601.866757,4.389902127677874,pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl
pool1spus7k8cy5qcs82xhw60dwwk2d4vrfs0m5vr2zst04gtq700gjn,614,10514119.569308,13.67,12,112,0.05,340.0,510.927977,3247.631558,3231.867302,15.764256,3758.559535,2.280102718,51036.345969,ZZZ4,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.004854076999274512,hollow,False,510.927977,340.0,170.92797675,3247.631558,13.59371781242784,9.046018742922481,4.5476990628538765,10463083.223338999,0.03103895370683681,526.692233,13.59371781242784,YUTA
pool1mcvq2z34f9cfdmkd97famsh20ekqtndw246ny5e8ug3mxfdf4zq,614,1825180.94385,2.37,3,91,0.01,170.0,177.694939,761.798918,649.348224,112.450694,939.493857,3.093131084,269418.67098299996,HIVE,,,,False,,,,,0.14761203369496814,balanced,False,177.694939,170.0,7.694938570000001,761.7989180000001,18.913901104943573,18.094849554721463,0.8190515044527854,1555762.272867,0.048966280471381844,290.145633,18.913901104943573,pool1mcvq2z34f9cfdmkd97famsh20ekqtndw246ny5e8ug3mxfdf4zq
pool1jx4ss2zjage3cw0wht3450328y82yeprmq4fr3e2qtac2rhezkv,614,21820940.072241,28.37,18,308,0.05,340.0,604.892097,5032.949842,5021.253152,11.69669,5637.841939,1.697785432,50712.327478,ZZZ5,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.002324021206699179,hollow,False,604.892097,340.0,264.89209695,5032.949842,10.729142525540393,6.030676341740556,4.698466182912972,21770227.744763,0.02311849880950701,616.588787,10.729142525540393,YUTA
pool19uynx6nxcdksmaqdcshjg487fap3rs3axyhrdqa7gdqgzgxss4y,614,3553573.817679,4.62,4,100,0.05,340.0,385.642544,867.208326,853.977327,13.230999,1252.85087,1.797221789,54216.871564,JAPAN,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.015256998825878195,hollow,False,385.642544,340.0,45.6425435,867.2083259999999,30.781200958099664,27.138106229674406,3.6430946885162796,3499356.946115,0.024781933919681386,398.873543,30.781200958099664,YUTA
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,614,55608511.161104,72.31,58,5716,0.015,170.0,443.063157,17931.147308,16646.385223,1284.762085,18374.210465,2.381443643,3984330.673142,ADAFR,,,,False,,,,,0.07164965560036221,hollow,False,443.063157,170.0,273.06315697499997,17931.147308,2.411331675143082,0.9252098223421542,1.4861218526648674,51624180.487962,0.034734008634154066,1727.8252420000001,2.411331675143082,pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,614,56723580.507439,73.76,50,1503,0.01,340.0,493.609573,15207.347748,14988.951569,218.396179,15700.957321,1.976107817,814620.171817,1LOVE,,,,False,,,,,0.014361226222490782,hollow,False,493.609573,340.0,153.60957321,15207.347748,3.143818322082808,2.165473053959905,0.9783452694604009,55908960.335622005,0.027200197708399782,712.005752,3.143818322082808,pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,614,55307726.745701,71.92,64,10021,0.0199,170.0,569.7147,19686.451144,18628.893018,1057.558126,20256.165844,2.631968865,2971035.715872,ST3AK,,,,False,,,,,0.053718275739889,hollow,False,569.7147,170.0,399.7147002956,19686.451144,2.81254954361836,0.8392506326677566,1.9732989124099116,52336691.029829,0.0376150091964733,1627.272826,2.81254954361836,pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0
