entity_id,display_name,pool_count,is_mpo,margin_values,n_distinct_margins,fixed_cost_values,n_distinct_costs,stake_weighted_margin,total_active_stake_ada,total_rewards_ada,total_operator_take_ada,total_margin_take_ada,total_fixed_cost_ada,total_delegator_pot_ada
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,,1,False,0.0150,1,170,1,0.015,55608511.16,18374.21,443.06,273.06,170.0,17931.15
pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,,1,False,0.0090,1,170,1,0.009,55395272.63,18395.22,334.03,164.03,170.0,18061.2
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,,1,False,0.0199,1,170,1,0.0199,55307726.75,20256.17,569.71,399.71,170.0,19686.45
pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34,,1,False,0.0000,1,170,1,0.0,53978035.4,12839.5,170.0,0.0,170.0,12669.5
TERA,TERA,3,True,0.0000|0.0100,2,340,1,0.005838,53669177.4,13150.82,1097.75,77.75,1020.0,12053.07
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,,1,False,0.0200,1,170,1,0.02,53133063.41,17507.73,516.75,346.75,170.0,16990.97
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,,1,False,0.0250,1,170,1,0.025,51835043.81,17585.91,605.4,435.4,170.0,16980.51
ECO,ECO,1,True,0.0250,1,340,1,0.025,51560368.81,16598.56,746.46,406.46,340.0,15852.1
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,1,False,0.0300,1,170,1,0.03,50643588.8,13465.56,568.87,398.87,170.0,12896.7
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,,1,False,0.0250,1,340,1,0.025,50614809.86,13787.73,676.19,336.19,340.0,13111.54
ATLAS,ATLAS,2,True,0.0000|0.0080,2,340,1,0.006869,49884162.72,17252.22,790.23,110.23,680.0,16461.98
pool1dxwgzj66pual956mnv9delkelg873yvgr2dd8s279m0hxqvr475,,1,False,0.0100,1,340,1,0.01,49762444.62,16295.09,499.55,159.55,340.0,15795.54
pool1pp7tn2w6ken4rpfcjwcdup3g4m5gcdhc9lgvrm3mnxz5stmrhq2,,1,False,0.0399,1,340,1,0.0399,49680350.51,16247.67,974.72,634.72,340.0,15272.96
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,,1,False,0.0100,1,170,1,0.01,48872055.41,14100.1,309.3,139.3,170.0,13790.79
AWP,STSH1,3,True,0.0500,1,345,1,0.05,47571756.29,10645.82,1515.54,480.54,1035.0,9130.28
pool193uec04jldvah7r52q86wl033g4v42x0aste8jfg9999qepaxfp,,1,False,0.0100,1,170,1,0.01,47254466.17,18792.81,356.23,186.23,170.0,18436.58
pool1tpr44v3pxth9j0ff246dvsryxpanxwx52f024ws3ecvn72sgv55,,1,False,0.0000,1,170,1,0.0,46855405.0,15344.53,170.0,0.0,170.0,15174.53
