pool_bech32,delegation_count,total_ada,median_ada,mean_ada,max_ada
pool168235cjpsrvwnvddmhc7dmtcqr7c40j2mlrph3qvuxk3jqls0wy,6,6930.19,28.24,1155.03,6368.33
pool1687dfgyljnhamx05h6r04zdllv68exatshhd0jny4q56skc0926,4,68355.71,1680.36,17088.93,64995.00
pool168t0xlm0dtdgf7d5w2mrm7ulsw4czpw297yvrpke9pmjcc9hz7k,18,4440727.92,4449.64,246707.11,2561829.70
pool1692dxqqcsavymwz28w44t2jhyjnakvj4l3gwz2dqrarmc2k6dkh,213,209741.68,0.04,984.70,88366.21
pool1693h5jn424n7kazynt4h9r6fe8u8wtsp7us2me60msq5kpv390n,6,626.69,0.52,104.45,547.83
pool169mewaur9ma6ffw6x90xhjj0sk9j8yu3ynqz20jh03dj20syqwc,3,3572.52,553.69,1190.84,3018.83
pool16a23pum2srw5xmkknvw8dtc8ynqedx3wecmhacez4chrv9huvyg,6,5.27,0.54,0.88,2.38
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,9460,74897482.61,23.49,7917.28,7185334.08
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,5479,74937961.34,51.38,13677.31,2634928.74
pool16az8esp0qgrt3vwnpqmn2n2z3h7nexrhm4qn8xrr4sds6tj0dxa,2,243.76,121.88,121.88,243.76
pool16c989ahn582z53azjfmregygfuc9k44u3q97wqgyn0zxuzp3dn4,8,56746.75,1002.22,7093.34,33331.77
pool16cdtqyk0fvxzfkhjg3esjcuty4tnlpds5lj0lkmqmwdjyzaj7p8,86,851532.09,78.33,9901.54,164129.24
pool16cerhwlk8nq7rpuerr4g08tpgeq7awnhgxzkyalc8n8xjwzxqm3,16,4843213.66,30306.98,302700.85,1333091.85
pool16cy45uggzv3ah3s5m960v9vuxlx47sfnezpszuhcwl99z7nq8kq,312,254080.94,1.38,814.36,154690.50
pool16d004c5q7k7wyf223kgct26zjcpjqql04rvnx8vtc0t5ckmnzaa,3,1298.52,7.50,432.84,1290.83
