eff_entity_id,display_name,n_pools,total_stake,total_owner_stake,total_rewards,total_op_take,total_deleg_pot,dominant_strategy,n_strategies,owner_ratio,op_take_pct
pool1kcrr7re05pwesye0zh00a4xxnsrw5c29rd82fn4qecdcqu5rue3,,1,427511.395125,202841.840319,626.566175,170.0,456.56617500000004,balanced,1,0.47447118984908254,27.13201043768441
pool13qe6ycacqjg3gpvjewg8734d6hs6rhduuenjtnnkwh327hmtyz5,,1,425737.866638,140077.349848,313.206417,313.206417,0.0,balanced,1,0.32902252964758283,100.0
pool1t6xhh2stg5k50sjdzjglp2h0j59vupwv3kur45efvkk7cps5hwq,,1,409154.310202,1780.194479,313.153095,170.0,143.153095,hollow,1,0.004350912197701439,54.28654632967942
pool1grz62pdyyakffeymsjxpkz4x9382y3zhfa8zu28tk2fpqxm6p5l,,1,408928.709542,31059.381121,313.18645,313.18645,0.0,hollow,1,0.07595304608420987,100.0
pool12u28yewx8ycf6dj77lzpj6vvhjwp6veh6kxpc63h8fqnqqtlwmu,,1,407298.617799,105725.669123,626.429896,340.0,286.429896,balanced,1,0.25957777537849425,54.27582594174273
pool1dts0h87pntgmsffp6mjtnahfht2dz5zjjeeujhzmtn6wgctcuzd,,1,405828.070354,289746.113622,626.548327,342.578935,283.96939199999997,balanced,1,0.7139627216255818,54.67717656199248
pool1dkt4rqtjs6j6d8snna60s2g002ddcj5h62nee59mvsznk20q300,,1,401331.880587,2674.991897,313.153704,313.153704,0.0,hollow,1,0.006665286328829588,100.0
pool1p2ldp00jsl5l9xpg9m77zavhqmw7amtg5nlf0jwudlu2zaq389s,,1,371120.038851,368530.31153,313.178748,172.505628,140.67311999999998,private,1,0.9930218607191951,55.082162854805205
pool1xxvcz8dem4xufzn74v2y7fs709mfw3tpq963thzg5en5jrkv67a,,1,344536.841033,100016.617727,313.239325,313.239325,0.0,balanced,1,0.29029295510787,100.0
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,,1,344153.32009,87723.365089,313.204715,313.204715,0.0,balanced,1,0.25489617553612254,100.0
pool16wt6mzvytu9key68efv7cx6zfkqn0d9kzlnt746cyuv0zj3nxh8,,1,298826.35291,14835.394469,313.164285,170.0,143.164285,hollow,1,0.04964553602629584,54.284606560419235
pool12r08n33avu33ncstukwxyr440mgaazmuclay38v0yt34xytu2dq,,1,284352.500979,168682.163872,313.196229,313.196229,0.0,balanced,1,0.5932149824293528,100.0
pool1gqf605yxhmyfasdjhf8yxcesztgzuek9gfuvy2dnyj5cyp8zga3,,1,266108.435476,7.310247,313.152454,170.0,143.15245399999998,hollow,1,2.7470932993626587e-05,54.286657450239886
pool1w2duw0lk7lxjpfqjguxvtp0znhaqf8l2yvzcfd72l8fuk0h77gy,,1,257929.136992,12939.491151,313.166438,171.431664,141.73477400000002,hollow,1,0.050166845444069914,54.74139090217579
pool1epqdygzumryx7w9kk5l76gfjsvzuesmeh3u3tfjmmdsw65ja7k3,,1,246415.870626,1341.327048,313.148595,171.431486,141.717109,hollow,1,0.005443346829051493,54.744453188429596
pool1ddghnthymd3duklvx5pfunymqg29xe4vlmy89u2efyjdktn33kz,,1,223322.0583,87304.512185,313.206692,313.206692,0.0,balanced,1,0.39093546266584805,100.0
pool1yz3fnqnsqhqpkc2tjqn4dkws8nnr8a5kcs50g780nh0wk8tgnp2,,1,223080.862664,102.492219,313.152558,172.863051,140.289507,hollow,1,0.00045943976446949543,55.200906581769004
pool1442wwr8zzdpcu8uwnglackzr3u5ggrmfxsjja0s7aef66hk2fuc,,1,215344.72223,20175.774960000002,313.174623,170.0,143.174623,hollow,1,0.09369059409058172,54.28281460723592
pool1lxhlu48gq0606mj6k20mh56zz804zf7narxvmty4pd3mgee65e5,,1,213512.726856,181440.652918,313.199289,313.199289,0.0,balanced,1,0.8497884673655521,100.0
pool1f297l6rl99h5v56x48j4pgza70ya3lm37yzu0njpcnsljqdd4dl,,1,210562.802182,50000.0,313.199075,174.295972,138.903103,balanced,1,0.2374588459208597,55.650219273476466
pool1qqqqvmpm9v2l0tkwx4dpzth3g85lapxjug2j6sucnphyqlt4fuu,,1,197015.119561,58610.314271,313.198089,313.198089,0.0,balanced,1,0.29749145345595174,100.0
ROCKX,RockX,1,190378.314095,14258.956657,313.152604,313.152604,0.0,hollow,1,0.07489800886609747,100.0
