entity_id,display_name,category,pool_id_bech32,ticker,current_active_stake_ada,endpoint_kind,endpoint_value,ip,ptr,asn,as_name,country,physical_country,provider,tier,region
CAFE,CAFE,discovered_mpo,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,66552056.027981,dns,cap-2.cardanocafe.org,185.232.69.164,v2202012111623134639.hotsrv.de,197540,"NETCUP-AS netcup GmbH, DE",AT,AT,Other / on-prem,other-or-onprem,cc:AT
CAFE,CAFE,discovered_mpo,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,66552056.027981,dns,lat-1.cardanocafe.org,213.155.70.132,,12337,"NORIS-NETWORK IT Service Provider located in Nuernberg, Germany, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
CAFE,CAFE,discovered_mpo,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,66552056.027981,dns,lat-2.cardanocafe.org,213.155.70.133,,12337,"NORIS-NETWORK IT Service Provider located in Nuernberg, Germany, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
SPO:pool1tkqjk8s3y,GAS1,single_pool,pool1tkqjk8s3yqqyuspn4c44rjz7vgsu6kfxm4uvt89cejwryetpt6m,GAS1,1691.306956,ip,34.87.203.169,34.87.203.169,169.203.87.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,AU,GCP,hyperscaler,gcp:australia-southeast1
SPO:pool13hqjq6yxc,pool13hqjq6yxc,single_pool,pool13hqjq6yxcsk3wpygedcp04crk58qsc00gw4wf77q6kehxxagqme,,0.0,ip,51.210.243.44,51.210.243.44,vps-a57de47a.vps.ovh.net,16276,"OVH, FR",FR,FR,OVH,commodity-vps,cc:FR
SPO:pool1cj2uh0ylp,pool1cj2uh0ylp,single_pool,pool1cj2uh0ylps28czcjslnz85v2zyf8mld0w5tuqp3amxk4jjwfkgd,,36761.614488,dns,cardano-reply.bitcat365.com,95.217.198.23,static.23.198.217.95.clients.your-server.de,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,hetzner:helsinki
NUFI,NuFi,provider_cluster,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,11596264.444839,dns,cardano-relays-1.nu.fi,144.91.94.178,vmi3179827.contaboserver.net,51167,"CONTABO, DE",DE,DE,Contabo,commodity-vps,contabo:lauterbourg
NUFI,NuFi,provider_cluster,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,11596264.444839,dns,cardano-relays-1.nu.fi,144.91.109.112,vmi3179828.contaboserver.net,51167,"CONTABO, DE",DE,DE,Contabo,commodity-vps,contabo:lauterbourg
NUFI,NuFi,provider_cluster,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,11596264.444839,dns,cardano-relays-1.nu.fi,158.220.125.46,vmi3174202.contaboserver.net,51167,"CONTABO, DE",DE,DE,Contabo,commodity-vps,contabo:lauterbourg
NUFI,NuFi,provider_cluster,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,11596264.444839,dns,cardano-relays-2.nu.fi,34.147.238.66,66.238.147.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,GB,GCP,hyperscaler,gcp:europe-west2
