region,pools_exposed,stake_split_ada,stake_split_pct,entities
ovh:pl:warsaw,7,20327038,0.096,6
gcp:us-west1,10,19704778,0.093,8
aws:ap-northeast-3,2,18411949,0.087,2
cc:RO,12,14457278,0.068,12
cc:ID,3,14090006,0.067,3
gcp:asia-southeast2,1,14078118,0.067,1
cc:ES,8,13476636,0.064,8
cc:ZA,8,13426752,0.063,8
cc:TH,2,13155693,0.062,2
azure:westus2,5,12933970,0.061,5
aws:eu-west-2,7,12778159,0.060,7
gcp:southamerica-east1,1,12244214,0.058,1
aws:eu-west-3,5,12241900,0.058,5
contabo:nuremberg,8,11682875,0.055,8
cc:CZ,10,11224731,0.053,10
aws:ca-central-1,7,10567795,0.050,7
aws:af-south-1,3,10046967,0.048,3
azure:swedencentral,2,8312402,0.039,2
ovh:sg:singapore,9,8277871,0.039,9
cc:SC,2,8042890,0.038,2
contabo:karlsruhe,4,7647494,0.036,4
cc:CY,6,6907711,0.033,6
cc:GR,6,6139708,0.029,6
ovh:ca:quebec,6,5754842,0.027,6
cc:HK,7,5570929,0.026,7
gcp:us-west3,1,5227610,0.025,1
cc:FI,3,4857282,0.023,3
gcp:asia-southeast1,1,4791152,0.023,1
cc:AR,5,4499785,0.021,5
ovh:de:saarland,2,3141678,0.015,2
gcp:africa-south1,1,3131670,0.015,1
cc:IN,7,2557895,0.012,7
cc:TW,2,2410260,0.011,2
gcp:europe-west6,3,2287249,0.011,3
contabo:london,3,2162686,0.010,3
cc:LU,1,2020021,0.010,1
contabo:frankfurt_am_main,6,1947078,0.009,6
cc:IE,2,1744394,0.008,2
cc:HU,3,1733595,0.008,3
gcp:asia-east1,5,1549794,0.007,5
gcp:europe-west9,1,1526100,0.007,1
gcp:europe-southwest1,1,1381420,0.007,1
cc:LI,2,1252805,0.006,2
cc:CN,6,963298,0.005,6
cc:UA,3,863092,0.004,3
cc:HR,1,852872,0.004,1
aws:eu-central-2,1,814399,0.004,1
cc:SI,5,698677,0.003,5
cc:PT,2,659332,0.003,2
cc:EE,1,636599,0.003,1
gcp:northamerica-northeast2,1,438220,0.002,1
cc:MY,2,312182,0.001,2
ovh:us:oakton,2,303326,0.001,2
cc:CL,4,189995,0.001,4
gcp:europe-north1,9,164347,0.001,9
cc:CD,1,159059,0.001,1
ovh:de:saarbrücken,2,134012,0.001,2
cc:SK,1,112075,0.001,1
cc:MX,2,101494,0.000,2
azure:mexicocentral,1,98981,0.000,1
cc:PK,1,81603,0.000,1
azure:southeastasia,1,81219,0.000,1
cc:CR,1,81219,0.000,1
cc:DK,2,49201,0.000,2
cc:NC,1,49094,0.000,1
azure:westus,2,20527,0.000,2
cc:BG,2,13017,0.000,2
cc:IL,3,10380,0.000,3
cc:RU,2,10144,0.000,2
gcp:us-west4,4,7780,0.000,4
cc:PH,2,7185,0.000,2
cc:TR,1,6708,0.000,1
azure:southafricanorth,2,5870,0.000,2
gcp:southamerica-west1,1,3907,0.000,1
gcp:australia-southeast1,2,1698,0.000,2
leaseweb:haarlem,1,1107,0.000,1
azure:malaysiawest,1,1103,0.000,1
cc:UY,1,371,0.000,1
azure:centralfrance,1,348,0.000,1
gcp:us-west2,2,80,0.000,2
