entity_id,display_name,category,provider,stake_split_ada
SPO:pool1tpy5yawzp,MANA,single_pool,DigitalOcean,17632760
SPO:pool130c3kgpkj,TOIRO,single_pool,Other / on-prem,17589859
SPO:pool1u7mqtde27,CFLOW,single_pool,Azure,17380744
SPO:pool1aqg6fvhca,SARGA,single_pool,Other / on-prem,17290162
SPO:pool1m62sl6rau,pool1m62sl6rau,single_pool,Vultr / Choopa,16338075
SPO:pool14wk2m2af7,SMAUG,single_pool,Hetzner,16217034
SPO:pool14wk2m2af7,SMAUG,single_pool,OVH,16217034
SPO:pool1swe9nsv8l,ADAGE,single_pool,Other / on-prem,16085780
P2P,P2P,declared_brand,GCP,16053376
SPO:pool10hex9l4wj,CSN1,single_pool,GCP,15860860
MUEN,MUEN,discovered_mpo,Other / on-prem,15651377
SPO:pool1cq25dmlt5,BEAST,single_pool,Vultr / Choopa,15465179
SPO:pool154hq0j6u6,CTEC,single_pool,AWS,14876140
SPO:pool1yc6f3cqsc,HYPER,single_pool,Other / on-prem,14667405
SPO:pool1yc6f3cqsc,HYPER,single_pool,Hetzner,14667405
SPO:pool1uk2f28awa,POWER,single_pool,Other / on-prem,14552631
SPO:pool1fm57fshvd,BANDA,single_pool,Azure,14135298
SPO:pool1pfprlfz0y,ADI,single_pool,GCP,14078118
SPO:pool1pfprlfz0y,ADI,single_pool,Other / on-prem,14078118
SPO:pool1m4njkh73p,Pier2,single_pool,OVH,14071542
SPO:pool1850xvydng,BITA,single_pool,Azure,14064010
SPO:pool1e98xlcgj8,COSD,single_pool,Other / on-prem,13840059
SPO:pool1ujcu3myfg,PUDIM,single_pool,DigitalOcean,13816394
SPO:pool16pv24th2t,SDG13,single_pool,Hetzner,13726161
SPO:pool16pv24th2t,SDG13,single_pool,OVH,13726161
SPO:pool16pv24th2t,SDG13,single_pool,Other / on-prem,13726161
SPO:pool1evg78egp8,SQUID,single_pool,AWS,13714736
SPO:pool1grgycym8c,THOR,single_pool,OVH,13572285
SPO:pool1r0sxz0hyg,BURN,single_pool,Other / on-prem,13338415
SPO:pool1l6aeyn35n,OYSTR,single_pool,Oracle Cloud,13240258
SPO:pool1l6aeyn35n,OYSTR,single_pool,IONOS,13240258
SPO:pool1lfnlxfxxw,HISAI,single_pool,Azure,12748706
SPO:pool1lfnlxfxxw,HISAI,single_pool,Other / on-prem,12748706
SPO:pool107rsdzswa,WORLD,single_pool,Other / on-prem,12533567
SPO:pool107rsdzswa,WORLD,single_pool,Contabo,12533567
SPO:pool1lfy5rdaps,FENIX,single_pool,Hetzner,12407074
SPO:pool1xlphlhnjv,FISH,single_pool,AWS,12233677
SPO:pool1c60f68y84,MYUJK,single_pool,Other / on-prem,12104283
NUFI,NuFi,provider_cluster,AWS,11921732
SPO:pool1ue4ngerz2,STP,single_pool,OVH,11732058
SPS,SPS,discovered_mpo,Hetzner,11631576
SPO:pool1qqvukkkfr,STAKE,single_pool,OVH,11606700
SPO:pool1qqvukkkfr,STAKE,single_pool,Contabo,11606700
SPO:pool1ewrm7y47s,A4G,single_pool,Hetzner,11467087
SPO:pool1ewrm7y47s,A4G,single_pool,Contabo,11467087
SPO:pool1ewrm7y47s,A4G,single_pool,Other / on-prem,11467087
SPO:pool13846y7q7t,BSP,single_pool,Other / on-prem,11370461
SPO:pool13846y7q7t,BSP,single_pool,IONOS,11370461
SPO:pool1crts5gmqr,BREAK,single_pool,DigitalOcean,11342427
COFFEEPOOL_JP,COFFE,discovered_mpo,Other / on-prem,11300766
COFFEEPOOL_JP,COFFE,discovered_mpo,IONOS,11300766
SPO:pool10eltx2wej,CHIL,single_pool,Other / on-prem,11124401
SPO:pool1x5dfpgp98,QXT,single_pool,Other / on-prem,11075691
SPO:pool10tqeu6d03,CASP,single_pool,Hetzner,11071585
SPO:pool1c86ul4pnq,BAIDU,single_pool,Alibaba Cloud,10979559
SPO:pool1lhvpgr8lh,OSAKA,single_pool,Other / on-prem,10915842
SPO:pool13fpvzhz7p,CET,single_pool,AWS,10816761
COFFEEPOOL_JP,COFFE,discovered_mpo,Contabo,10812587
SPO:pool1qetkrhjs9,CARAT,single_pool,Contabo,10574770
SPO:pool1qqq6qqa0h,AHL,single_pool,Other / on-prem,10558560
SPO:pool1yr0cv3dtm,EASY1,single_pool,Contabo,10484505
SPO:pool1yr0cv3dtm,EASY1,single_pool,Other / on-prem,10484505
SPO:pool1yr0cv3dtm,EASY1,single_pool,Hetzner,10484505
SPO:pool138s0uwydw,AURA,single_pool,Unresolved,10422041
SPO:pool1pj5jnehwj,MIMSA,single_pool,Azure,10323196
SPO:pool1lskcfz80q,CERO,single_pool,OVH,10296591
SPO:pool1lskcfz80q,CERO,single_pool,Other / on-prem,10296591
IOG,IOG,declared_brand,AWS,10275835
SPO:pool1mkjtce8r8,RSNG,single_pool,Other / on-prem,10080204
SPO:pool125kh7e0y9,CHOCO,single_pool,Vultr / Choopa,10066877
SPO:pool1ty7lh3nvt,BEAVR,single_pool,AWS,9953700
SPO:pool1xjqjwe0t7,NVET,single_pool,Contabo,9831404
SPO:pool1xjqjwe0t7,NVET,single_pool,Other / on-prem,9831404
KTO,nan,discovered_mpo,Other / on-prem,9800541
SPO:pool1q9049mstr,pool1q9049mstr,single_pool,Contabo,9785671
KTO,nan,discovered_mpo,Contabo,9775307
SPO:pool1mn6relcs7,RED,single_pool,Other / on-prem,9666523
SPO:pool1mn6relcs7,RED,single_pool,Hetzner,9666523
SPO:pool1u4sxd6x0q,SCAR,single_pool,Other / on-prem,9457325
SPO:pool1u0mc9ywfx,NERD,single_pool,GCP,9403937
SPO:pool1qmsck80ld,CAMP,single_pool,Other / on-prem,9388220
SPO:pool1qku2yhky7,ASPEN,single_pool,DigitalOcean,9384337
SPO:pool1qku2yhky7,ASPEN,single_pool,Other / on-prem,9384337
SPO:pool1mwp8ewtzm,AACC,single_pool,GCP,9261147
SPO:pool126mkma8nv,NAP,single_pool,IONOS,9257134
SPO:pool126mkma8nv,NAP,single_pool,Other / on-prem,9257134
SPO:pool170hmssk80,21ADA,single_pool,OVH,9251574
SPO:pool1a6ysvnx24,VIVI,single_pool,Hetzner,9019149
SPO:pool1lxqewhueg,YOON,single_pool,Other / on-prem,8766894
SPO:pool10scv5quxd,CDNTH,single_pool,Contabo,8620728
SPO:pool1zj4h7kc6v,pool1zj4h7kc6v,single_pool,Contabo,8547976
SPO:pool1dpu6kslgx,FARM,single_pool,IONOS,8534699
SPO:pool1flkcdxj7c,U0001,single_pool,Other / on-prem,8312402
SPO:pool1flkcdxj7c,U0001,single_pool,Azure,8312402
SPO:pool1rcd7qslz3,NINI,single_pool,Hetzner,8299080
SPO:pool1qgmwcxs8d,CLAY,single_pool,Contabo,8239424
SPO:pool1c3kxs76qj,NAHA,single_pool,Other / on-prem,8231224
EMURGO,Emurgo,declared_brand,Hetzner,7850593
P2P,P2P,declared_brand,Oracle Cloud,7828285
SPO:pool12ktz62g9d,CTEC2,single_pool,AWS,7645844
SPO:pool1cc76kmtcp,pool1cc76kmtcp,single_pool,Azure,7549867
