epoch_no,unique_submitters,tx_count,total_fee_ada
268,128633,208164,44159.912128000000
269,133677,197254,41817.190370000000
270,122922,174334,36489.177917000000
271,100333,145244,30802.442909000000
272,92133,135373,29593.210504000000
273,101892,150752,32570.360903000000
274,92316,133041,28650.900551000000
275,94557,136339,29088.470734000000
276,102846,144737,30139.500685000000
277,96522,135191,28508.156761000000
278,93080,133567,28124.230492000000
279,87026,131829,27651.228864000000
280,95222,137225,31570.674668000000
281,96711,141713,30198.103953000000
282,106998,157622,33861.288926000000
283,154689,224809,48375.612297000000
284,172189,243991,53114.389397000000
285,224988,325005,69484.110281000000
286,233116,363721,80116.415019000000
287,242147,401343,86536.781869000000
288,284939,475383,99992.854778000000
289,307951,501443,105082.493097000000
290,266032,423156,88193.252097000000
291,265401,415399,88508.486990000000
292,277752,448774,94575.307119000000
293,284661,449404,92010.214941000000
294,262321,411754,85521.391572000000
295,237763,366276,78295.367024000000
296,229971,355932,76580.372441000000
297,223919,355992,78382.709752000000
298,274202,467116,98589.384465000000
299,348166,589639,124341.767708000000
300,257898,391299,88206.195240000000
301,292794,451157,97036.953903000000
302,565586,1033931,202279.497524000000
303,293253,488235,103395.856418000000
304,790335,1566974,308293.830822000000
305,440229,769219,156264.770889000000
306,283726,531293,114439.696442000000
307,306736,604359,127647.415455000000
308,219244,427399,103811.542089000000
309,269774,553388,134784.675796000000
310,241791,475918,116225.490530000000
311,230825,452652,107642.266965000000
312,257773,501383,135522.429378000000
313,294452,643762,182577.641027000000
314,278213,643632,192127.658577000000
315,434050,906299,269870.823296000000
316,380212,841394,252763.162151000000
317,328556,756297,252123.552102000000
318,288274,655198,233870.176809000000
319,293063,650534,242157.748335000000
320,266962,601903,233553.475002000000
321,294081,643509,243949.058349000000
322,266060,627687,241654.937960000000
323,242335,559393,226099.862852000000
324,264954,557373,218116.421930000000
325,195407,460050,197003.983114000000
326,253159,592413,226748.921164000000
327,218676,568933,229617.380821000000
328,230748,550807,227208.702587000000
329,216059,546489,232457.560903000000
330,191327,499577,215991.479619000000
331,172403,450346,176480.861305000000
332,201150,584705,211816.288426000000
333,193978,573296,209376.078021000000
334,169669,515610,192921.162356000000
335,202022,584346,205828.054439000000
336,176430,529384,192024.791502000000
337,159707,478517,173248.817607000000
338,205899,542058,172421.937813000000
339,169203,488198,168281.312815000000
340,138380,435077,160002.862256000000
341,152934,477842,169007.597834000000
342,148356,470464,163696.811862000000
343,153149,463239,162340.782180000000
344,126178,394771,138919.762103000000
345,115532,339988,121086.316506000000
346,106862,319881,116216.272055000000
347,119745,346770,122720.682635000000
348,113249,335679,123792.277750000000
349,120856,358347,125541.678700000000
350,107676,315748,115135.305638000000
351,122546,389952,141792.415732000000
352,122884,380463,134611.424626000000
353,109955,333919,121313.174941000000
354,120713,397134,146116.971676000000
355,112654,340089,127309.306074000000
356,113373,323867,116037.863239000000
357,112614,342561,125139.811300000000
358,113917,341618,122422.588869000000
359,107383,320500,113844.382083000000
360,113417,319465,116644.395040000000
361,118877,326137,116245.201535000000
362,111954,297134,105632.674757000000
363,104957,271609,96402.895987000000
364,115994,310613,108558.934873000000
365,108601,295792,104151.206114000000
366,120436,348994,118397.841967000000
367,107114,316483,108742.623350000000
368,105474,324010,107883.932533000000
369,112106,385470,128070.030085000000
370,123090,457692,152923.380161000000
371,130126,482453,156667.997533000000
372,121829,428636,135182.484587000000
373,123027,417406,132842.803910000000
374,118344,363881,113974.926022000000
375,131939,367258,108476.815659000000
376,144475,394766,113192.136071000000
377,143111,427507,130798.478937000000
378,112602,341268,106316.486792000000
379,113287,338491,109851.370234000000
380,107781,331323,105673.704020000000
381,126873,418468,125323.734583000000
382,112678,364530,118921.741629000000
383,98155,315814,108281.387091000000
384,100788,330287,115005.681766000000
385,111489,360365,127566.331717000000
386,126294,428509,144027.011453000000
387,125505,389223,126905.468922000000
388,111536,346785,117656.039688000000
389,110596,338858,115998.871359000000
390,108116,351917,118283.250151000000
391,129480,441211,146394.866089000000
392,123286,403692,134519.828370000000
393,111656,342053,110204.364303000000
394,102968,300303,98381.165945000000
395,95645,289491,92866.059325000000
396,99950,308357,95935.934203000000
397,94701,287849,94512.063494000000
398,90528,277507,91606.923726000000
399,102371,306486,100057.069132000000
400,113130,335752,107737.939769000000
401,95143,302002,98420.247794000000
