epoch_no,pool_count,mean_ada,stddev_ada,cv_pct,min_ada,max_ada
591,955,22563163,23667202,104.89,1008746,114468993
592,956,22571702,23810310,105.49,1009559,127949000
593,955,22714358,23736085,104.50,1024139,114663280
594,953,22669841,23591890,104.07,1009888,121447861
595,951,22695137,23577948,103.89,1010880,121334870
596,950,22718568,23592910,103.85,1008851,121039751
597,947,22432612,23335272,104.02,994781,97170348
598,949,22293820,23136157,103.78,989274,96987750
599,947,22487185,23364395,103.90,994586,108873635
600,950,22326206,23485043,105.19,1000251,109234896
601,949,22291158,23382761,104.90,1000338,108853217
602,948,22431536,23520243,104.85,997201,108819719
603,948,22455309,23528296,104.78,997525,108918404
604,946,22404841,23562920,105.17,990499,108764083
605,947,22396748,23582992,105.30,990499,109471599
606,945,22436052,23599573,105.19,990499,109456572
607,941,22551893,24021723,106.52,994466,148017742
608,941,22603890,24049361,106.39,994466,148039756
609,939,22714415,24084024,106.03,1003483,147812358
610,943,22678605,24176704,106.61,1002366,158555561
611,950,22497294,24119273,107.21,1000000,158502930
612,945,22382416,24164393,107.96,995414,157339432
613,944,22402569,24138271,107.75,991484,143403767
614,950,22453600,24087121,107.28,996047,121535027
615,949,22484994,24011038,106.79,1005926,121555122
616,951,22490090,24027131,106.83,998949,120412255
617,948,22743974,23956744,105.33,1009260,120463301
618,948,22785403,23979024,105.24,1009260,119938313
619,947,22874949,24112878,105.41,1013597,119957741
620,951,22769818,24074992,105.73,1013400,117459714
621,952,22626446,23859950,105.45,1005931,115071540
622,952,22592870,23854415,105.58,1005931,113213224
623,951,22677717,23940965,105.57,1009555,113898908
