epoch_no,total_tx,script_tx,simple_tx,script_pct,total_fee_ada,script_fee_ada,script_fee_pct
358,341618,88859,252759,26.01,122422.588869,64342.198798,52.56
359,320500,81730,238770,25.50,113844.382083,59427.975936,52.20
360,319465,83722,235743,26.21,116644.395040,62338.220630,53.44
361,326137,80233,245904,24.60,116245.201535,59476.173052,51.16
362,297134,73095,224039,24.60,105632.674757,53396.534631,50.55
363,271609,67417,204192,24.82,96402.895987,48215.076270,50.01
364,310613,73777,236836,23.75,108558.934873,52426.831426,48.29
365,295792,74362,221430,25.14,104151.206114,52645.997120,50.55
366,348994,76573,272421,21.94,118397.841967,52535.094820,44.37
367,316483,63862,252621,20.18,108742.623350,46499.394085,42.76
368,324010,51195,272815,15.80,107883.932533,39670.615429,36.77
369,385470,56138,329332,14.56,128070.030085,43473.518854,33.95
370,457692,63627,394065,13.90,152923.380161,49439.413704,32.33
371,482453,54630,427823,11.32,156667.997533,42959.518107,27.42
372,428636,44302,384334,10.34,135182.484587,35094.883954,25.96
373,417406,41907,375499,10.04,132842.803910,34357.330146,25.86
374,363881,36069,327812,9.91,113974.926022,29234.676575,25.65
375,367258,32153,335105,8.75,108476.815659,25588.325868,23.59
376,394766,31181,363585,7.90,113192.136071,24585.260274,21.72
377,427507,44607,382900,10.43,130798.478937,34404.364986,26.30
378,341268,34477,306791,10.10,106316.486792,27068.214822,25.46
379,338491,35373,303118,10.45,109851.370234,27605.353849,25.13
380,331323,37751,293572,11.39,105673.704020,29551.475524,27.96
381,418468,37168,381300,8.88,125323.734583,29032.744800,23.17
382,364530,37621,326909,10.32,118921.741629,35070.334134,29.49
383,315814,37418,278396,11.85,108281.387091,36997.944914,34.17
384,330287,41079,289208,12.44,115005.681766,39685.937904,34.51
385,360365,48557,311808,13.47,127566.331717,45989.323449,36.05
386,428509,51805,376704,12.09,144027.011453,46634.822806,32.38
387,389223,49499,339724,12.72,126905.468922,39639.211346,31.24
388,346785,49832,296953,14.37,117656.039688,38814.875289,32.99
389,338858,50929,287929,15.03,115998.871359,40401.285546,34.83
390,351917,45815,306102,13.02,118283.250151,37065.117578,31.34
391,441211,56207,385004,12.74,146394.866089,44348.073995,30.29
392,403692,59605,344087,14.76,134519.828370,42676.398303,31.72
393,342053,47216,294837,13.80,110204.364303,31922.627717,28.97
394,300303,43951,256352,14.64,98381.165945,31626.297406,32.15
395,289491,40605,248886,14.03,92866.059325,27930.834243,30.08
396,308357,39080,269277,12.67,95935.934203,25466.341056,26.55
397,287849,39295,248554,13.65,94512.063494,27291.462876,28.88
398,277507,38009,239498,13.70,91606.923726,27170.201855,29.66
399,306486,42037,264449,13.72,100057.069132,29266.274387,29.25
400,335752,38689,297063,11.52,107737.939769,26902.779733,24.97
401,302002,34414,267588,11.40,98420.247794,24064.453877,24.45
402,253864,30599,223265,12.05,81843.315874,21111.848130,25.80
403,276814,31641,245173,11.43,89160.098747,21722.695447,24.36
404,242851,32822,210029,13.52,81840.980787,23388.022379,28.58
405,288208,36897,251311,12.80,95730.080127,27215.013693,28.43
406,268036,34938,233098,13.03,89563.158021,25818.532673,28.83
407,266509,36363,230146,13.64,89902.825527,26591.517772,29.58
408,247207,31428,215779,12.71,81606.583481,23510.692838,28.81
409,308718,58442,250276,18.93,112970.641738,46231.924634,40.92
410,393568,94494,299074,24.01,144531.788134,68915.813561,47.68
411,320430,62508,257922,19.51,113966.019030,46647.118295,40.93
412,327949,67660,260289,20.63,117744.837387,50346.397357,42.76
413,405070,91919,313151,22.69,149969.305714,69025.929942,46.03
414,444338,111725,332613,25.14,164499.006117,80947.834021,49.21
415,490273,115515,374758,23.56,178691.909769,84228.238496,47.14
416,459276,106304,352972,23.15,169559.835776,78866.275851,46.51
417,375738,72858,302880,19.39,134243.110070,53167.883315,39.61
418,328689,65418,263271,19.90,120268.372942,48917.447964,40.67
419,358311,70995,287316,19.81,128880.013669,51854.956488,40.24
420,381428,82607,298821,21.66,141402.900482,60087.491320,42.49
421,369999,80866,289133,21.86,135605.137798,56764.983118,41.86
422,393560,84690,308870,21.52,146019.384340,61882.908422,42.38
423,440283,88218,352065,20.04,158543.961356,61663.737605,38.89
424,357976,66586,291390,18.60,126583.595594,45727.842880,36.12
425,363198,74662,288536,20.56,132388.057408,51735.267408,39.08
426,354148,66727,287421,18.84,126908.377168,44993.050306,35.45
427,324427,52838,271589,16.29,111377.755881,34962.618838,31.39
428,343684,62056,281628,18.06,123472.666660,43060.320813,34.87
429,268374,44987,223387,16.76,95911.502104,32013.290296,33.38
430,267744,43027,224717,16.07,92908.383223,30031.504555,32.32
431,249407,38443,210964,15.41,85200.251438,25749.157459,30.22
432,231353,37366,193987,16.15,81096.601264,25999.255922,32.06
433,291722,36025,255697,12.35,97181.599871,25173.352718,25.90
434,235503,32874,202629,13.96,80850.640036,22871.961136,28.29
435,243515,29710,213805,12.20,80726.565041,20269.268881,25.11
436,226919,29852,197067,13.16,76712.051292,20382.081397,26.57
437,223934,28174,195760,12.58,75841.342949,19285.941361,25.43
438,279913,40427,239486,14.44,94494.265027,25862.477841,27.37
439,297109,51064,246045,17.19,104217.504420,34872.675287,33.46
440,277367,44711,232656,16.12,95326.704362,30322.407895,31.81
441,269273,44463,224810,16.51,94168.039957,30536.818429,32.43
442,291448,53596,237852,18.39,102416.026622,35844.613900,35.00
443,253478,48158,205320,19.00,89675.434107,30992.576863,34.56
444,303107,53374,249733,17.61,104860.675153,35614.203510,33.96
445,274087,42751,231336,15.60,95519.681541,29067.543555,30.43
446,297377,47719,249658,16.05,103376.974891,33261.156736,32.17
447,302829,44926,257903,14.84,104111.334647,31396.642601,30.16
448,293835,40115,253720,13.65,102026.957711,28009.401192,27.45
449,284057,38500,245557,13.55,97810.290193,26477.346060,27.07
450,261868,34428,227440,13.15,89061.401822,24172.691706,27.14
451,306235,38694,267541,12.64,100347.025883,27388.577238,27.29
452,345563,58909,286654,17.05,121425.743292,41026.054071,33.79
453,473615,88204,385411,18.62,169299.131726,63539.050129,37.53
454,459281,84882,374399,18.48,166398.424201,60562.329610,36.40
455,453454,90665,362789,19.99,164148.391587,63711.393556,38.81
456,416022,70062,345960,16.84,146643.347671,49915.712896,34.04
457,464626,82693,381933,17.80,165239.539583,58709.241270,35.53
458,427089,65042,362047,15.23,150603.248974,46723.471739,31.02
459,421387,68842,352545,16.34,149502.178144,46372.443461,31.02
460,420768,74181,346587,17.63,149921.795091,52006.840661,34.69
461,374017,64267,309750,17.18,130779.342061,46396.782827,35.48
462,352162,66467,285695,18.87,125330.099819,47843.506222,38.17
463,315429,54187,261242,17.18,110907.245455,38959.604598,35.13
464,340234,52028,288206,15.29,116912.422703,36952.656105,31.61
465,342914,54722,288192,15.96,117812.147465,38393.908168,32.59
466,347241,60016,287225,17.28,121919.432526,40575.606499,33.28
467,337319,56363,280956,16.71,115983.833237,39500.307041,34.06
468,339236,53352,285884,15.73,116201.496061,37967.072593,32.67
469,365139,53895,311244,14.76,121519.980918,38459.216381,31.65
470,403952,61738,342214,15.28,133408.580939,43275.665477,32.44
471,388963,72184,316779,18.56,136006.087043,52597.378399,38.67
472,371308,54010,317298,14.55,123634.509077,39225.903849,31.73
473,311957,51512,260445,16.51,105972.074454,36470.604684,34.42
474,247259,37533,209726,15.18,83019.604600,27023.290706,32.55
475,287074,46601,240473,16.23,98050.528642,33940.197299,34.62
476,296447,52443,244004,17.69,102081.461302,38289.092082,37.51
477,275822,49066,226756,17.79,94128.682735,35930.561089,38.17
478,276916,51633,225283,18.65,98481.346800,38638.184997,39.23
479,262660,42885,219775,16.33,88531.121892,31397.667133,35.47
480,240963,43489,197474,18.05,84012.172874,31233.776025,37.18
481,217547,40705,176842,18.71,75889.828347,29358.302857,38.69
482,223524,36595,186929,16.37,75526.246011,26390.574702,34.94
483,216815,38824,177991,17.91,75117.947461,28466.939979,37.90
484,224270,44954,179316,20.04,78770.930119,31802.259083,40.37
485,244981,41692,203289,17.02,83167.097183,29855.466824,35.90
486,244729,40768,203961,16.66,81838.755765,28700.838498,35.07
487,202648,34058,168590,16.81,68506.507251,23550.168450,34.38
488,211969,31691,180278,14.95,69507.849957,22163.555119,31.89
489,240957,34988,205969,14.52,79007.776775,24274.636655,30.72
490,211484,33608,177876,15.89,70416.209324,23544.233582,33.44
491,216630,38253,178377,17.66,72079.705835,25684.807784,35.63
492,403855,113219,290636,28.03,142923.441716,69299.009818,48.49
493,398226,104410,293816,26.22,141437.820728,64249.620349,45.43
494,293756,60628,233128,20.64,97664.600823,36789.285446,37.67
495,242938,51518,191420,21.21,82024.444572,31739.674378,38.70
496,272484,48285,224199,17.72,89490.892177,29517.822755,32.98
497,246173,36006,210167,14.63,78462.502268,21785.079736,27.76
498,217778,26522,191256,12.18,67012.196188,15649.128685,23.35
499,201669,25525,176144,12.66,62216.157710,15112.710672,24.29
500,216886,27102,189784,12.50,67528.053731,15419.851633,22.83
501,216520,28999,187521,13.39,68222.967808,17301.033412,25.36
502,177945,20297,157648,11.41,55252.759780,12515.504569,22.65
503,163965,17509,146456,10.68,50465.238805,11005.066453,21.81
504,163553,15843,147710,9.69,50135.685073,10358.175916,20.66
505,187207,18400,168807,9.83,57700.605861,11681.986746,20.25
506,193373,17963,175410,9.29,59492.203551,10921.911389,18.36
507,349397,19146,330251,5.48,116094.310914,12923.624568,11.13
508,275085,16568,258517,6.02,93107.532403,10289.873548,11.05
509,203346,16071,187275,7.90,69661.135669,10309.477851,14.80
510,178413,14423,163990,8.08,132156.650545,9255.683704,7.00
511,177834,15906,161928,8.94,65976.001813,10125.077764,15.35
512,196397,19412,176985,9.88,68232.433058,12260.985279,17.97
513,155526,13340,142186,8.58,52697.610335,7963.788757,15.11
514,172108,17415,154693,10.12,58567.071839,10063.788464,17.18
515,174897,16804,158093,9.61,59638.626715,10067.098836,16.88
516,200786,18543,182243,9.24,65707.612499,10888.883845,16.57
517,195379,18970,176409,9.71,69465.379538,13462.343911,19.38
518,206251,16888,189363,8.19,72593.325622,11200.187640,15.43
519,211528,16687,194841,7.89,72701.133032,10832.524498,14.90
520,362224,36213,326011,10.00,125348.359030,23952.561331,19.11
521,376080,31902,344178,8.48,126106.389542,20629.548348,16.36
522,529151,38119,491032,7.20,180613.758365,24505.585995,13.57
523,613398,39616,573782,6.46,200786.096558,25160.114844,12.53
524,518431,34728,483703,6.70,178596.662776,23925.765784,13.40
525,624145,50031,574114,8.02,211458.647448,33657.702449,15.92
526,553866,34724,519142,6.27,190021.074276,22871.832466,12.04
527,469514,25647,443867,5.46,158411.032771,16383.762745,10.34
528,394232,22709,371523,5.76,132087.308893,13990.208393,10.59
529,408033,15216,392817,3.73,113830.599860,9620.277113,8.45
530,310115,12646,297469,4.08,103650.666676,7681.475678,7.41
531,313591,19778,293813,6.31,107386.764248,15504.841940,14.44
532,266633,17509,249124,6.57,92068.198245,14097.868924,15.31
533,284715,14460,270255,5.08,97834.822698,8910.193121,9.11
534,388506,22307,366199,5.74,135143.065318,15867.444483,11.74
535,304984,18908,286076,6.20,102941.304846,11744.926882,11.41
536,275701,17410,258291,6.31,93384.750236,10550.294833,11.30
537,343437,22012,321425,6.41,117841.394966,13786.546794,11.70
