epoch_no,tx_count,total_fee_ada
350,315748,115135.305638000000
351,389952,141792.415732000000
352,380463,134611.424626000000
353,333919,121313.174941000000
354,397134,146116.971676000000
355,340089,127309.306074000000
356,323867,116037.863239000000
357,342561,125139.811300000000
358,341618,122422.588869000000
359,320500,113844.382083000000
360,319465,116644.395040000000
361,326137,116245.201535000000
362,297134,105632.674757000000
363,271609,96402.895987000000
364,310613,108558.934873000000
365,295792,104151.206114000000
366,348994,118397.841967000000
367,316483,108742.623350000000
368,324010,107883.932533000000
369,385470,128070.030085000000
370,457692,152923.380161000000
371,482453,156667.997533000000
372,428636,135182.484587000000
373,417406,132842.803910000000
374,363881,113974.926022000000
375,367258,108476.815659000000
376,394766,113192.136071000000
377,427507,130798.478937000000
378,341268,106316.486792000000
379,338491,109851.370234000000
380,331323,105673.704020000000
381,418468,125323.734583000000
382,364530,118921.741629000000
383,315814,108281.387091000000
384,330287,115005.681766000000
385,360365,127566.331717000000
386,428509,144027.011453000000
387,389223,126905.468922000000
388,346785,117656.039688000000
389,338858,115998.871359000000
390,351917,118283.250151000000
391,441211,146394.866089000000
392,403692,134519.828370000000
393,342053,110204.364303000000
394,300303,98381.165945000000
395,289491,92866.059325000000
396,308357,95935.934203000000
397,287849,94512.063494000000
398,277507,91606.923726000000
399,306486,100057.069132000000
400,335752,107737.939769000000
401,302002,98420.247794000000
402,253864,81843.315874000000
403,276814,89160.098747000000
404,242851,81840.980787000000
405,288208,95730.080127000000
406,268036,89563.158021000000
407,266509,89902.825527000000
408,247207,81606.583481000000
409,308718,112970.641738000000
410,393568,144531.788134000000
411,320430,113966.019030000000
412,327949,117744.837387000000
413,405070,149969.305714000000
414,444338,164499.006117000000
415,490273,178691.909769000000
416,459276,169559.835776000000
417,375738,134243.110070000000
418,328689,120268.372942000000
419,358311,128880.013669000000
420,381428,141402.900482000000
421,369999,135605.137798000000
422,393560,146019.384340000000
423,440283,158543.961356000000
424,357976,126583.595594000000
425,363198,132388.057408000000
426,354148,126908.377168000000
427,324427,111377.755881000000
428,343684,123472.666660000000
429,268374,95911.502104000000
430,267744,92908.383223000000
431,249407,85200.251438000000
432,231353,81096.601264000000
433,291722,97181.599871000000
434,235503,80850.640036000000
435,243515,80726.565041000000
436,226919,76712.051292000000
437,223934,75841.342949000000
438,279913,94494.265027000000
439,297109,104217.504420000000
440,277367,95326.704362000000
441,269273,94168.039957000000
442,291448,102416.026622000000
443,253478,89675.434107000000
444,303107,104860.675153000000
445,274087,95519.681541000000
446,297377,103376.974891000000
447,302829,104111.334647000000
