epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
338,24621517986831382,3148,1193666,1139885091983,1015,24376831684559520,1153603,2133,244686302271862,40063
339,24682659914204521,3147,1190779,1142715736769,1021,24442503345896274,1152528,2126,240156568308247,38251
340,24476700813527397,3141,1191165,1133180593219,1017,24234884482649743,1152534,2124,241816330877654,38631
341,24555840771807746,3142,1193227,1136844480176,1022,24315994197580542,1154640,2120,239846574227204,38587
342,24660991673767486,3129,1195415,1141712577489,1020,24420250514584769,1156765,2109,240741159182717,38650
343,24538091587045780,3122,1194688,1136022758660,1021,24304189600288504,1156743,2101,233901986757276,37945
344,24602095926151255,3114,1194545,1138985922507,1022,24368370605646826,1156238,2092,233725320504429,38307
345,24677704327308250,3116,1196068,1142486311449,1028,24443276363951267,1157167,2088,234427963356983,38901
346,24637590261789712,3112,1197390,1140629178787,1028,24400565040333349,1158022,2084,237025221456363,39368
347,24669825450454874,3112,1199735,1142121548632,1031,24433761294464330,1159377,2081,236064155990544,40358
348,24670614381381442,3110,1201632,1142158073212,1029,24433094123567891,1161149,2081,237520257813551,40483
349,24435357519567074,3101,1203261,1131266551832,1028,24201089778408825,1162797,2073,234267741158249,40464
350,24444238585047094,3098,1204892,1131677712271,1030,24209760045143739,1164419,2068,234478539903355,40473
351,24456415918186222,3098,1206529,1132241477694,1029,24220594018143846,1165591,2069,235821900042376,40938
352,24441961174746539,3099,1207965,1131572276609,1032,24206490276289853,1166657,2067,235470898456686,41308
353,24453012636354912,3097,1208939,1132083918350,1038,24221416979150423,1167881,2059,231595657204489,41058
354,24463445965412728,3093,1205847,1132566942843,1031,24230150235387163,1164035,2062,233295730025565,41812
355,24525857119151547,3101,1206784,1135456348109,1032,24293584498346438,1164805,2069,232272620805109,41979
356,24492895353990404,3101,1208080,1133930340463,1037,24263331153088728,1166329,2064,229564200901676,41751
357,24507422389303698,3103,1209380,1134602888394,1036,24275502136882412,1167827,2067,231920252421286,41553
358,24552945219532238,3105,1210548,1136710426830,1038,24319177636362742,1168037,2067,233767583169496,42511
359,24623552540372334,3105,1211655,1139979284276,1034,24385174499138236,1168791,2071,238378041234098,42864
360,24636399918286027,3114,1213836,1140574070291,1037,24399414746462573,1171284,2077,236985171823454,42552
361,24732308831147809,3120,1215098,1145014297738,1036,24491989993949769,1172207,2084,240318837198040,42891
362,24724295922908154,3122,1215933,1144643329764,1039,24481791823536441,1172585,2083,242504099371713,43348
363,24782466023480092,3120,1217041,1147336389976,1040,24540650413542110,1173678,2080,241815609937982,43363
364,25054390221573067,3122,1217987,1159925473221,1045,24814111473576961,1174223,2077,240278747996106,43764
365,25043681533090900,3123,1219047,1159429700606,1046,24807573858289070,1175655,2077,236107674801830,43392
366,25028585125722443,3116,1219774,1158730792858,1049,24794102895760181,1176400,2067,234482229962262,43374
367,25065995673156592,3117,1220117,1160462762646,1048,24825675399196311,1176804,2069,240320273960281,43313
368,25069171797357765,3121,1221011,1160609805433,1053,24830349132852493,1177897,2068,238822664505272,43114
369,25153834365108788,3119,1221252,1164529368755,1056,24917571126543432,1178948,2063,236263238565356,42304
370,25170337993638844,3123,1221920,1165293425631,1054,24930149193393753,1179384,2069,240188800245091,42536
371,25107902330817417,3114,1222311,1162402885686,1053,24864344791778718,1179401,2061,243557539038699,42910
372,25087226705234193,3112,1223338,1161445680798,1060,24850432158962974,1180711,2052,236794546271219,42627
373,25090663550263367,3115,1224300,1161604793994,1058,24853095490106876,1181818,2057,237568060156491,42482
374,25097784395987465,3126,1225107,1161934462777,1058,24860348245858117,1181983,2068,237436150129348,43124
375,25174903471204236,3145,1226013,1165504790334,1064,24940417352346659,1183478,2081,234486118857577,42535
376,25272403210023564,3150,1227364,1170018667131,1060,25036969036620574,1183859,2090,235434173402990,43505
377,25197315592272395,3145,1230026,1166542388531,1057,24962668440089049,1186484,2088,234647152183346,43542
378,25116738054461618,3147,1232556,1162811946966,1058,24880963028691689,1188967,2089,235775025769929,43589
379,25058875481572529,3145,1234120,1160133124147,1054,24818194330888347,1189511,2091,240681150684182,44609
380,25065309972207037,3148,1236145,1160431017232,1054,24821519507606835,1190950,2094,243790464600202,45195
381,25090595813788584,3147,1237853,1161601658046,1059,24851617951980847,1192963,2088,238977861807737,44890
382,25079111896910089,3144,1239210,1161069995227,1060,24841559799431659,1194286,2084,237552097478430,44924
383,25226159003727233,3147,1243778,1167877731654,1063,24988738342284729,1196898,2084,237420661442504,46880
384,25363740356767789,3128,1246471,1174247238739,1061,25122046485049937,1199264,2067,241693871717852,47207
385,25388654503848140,3128,1248673,1175400671474,1063,25149282004749998,1201517,2065,239372499098142,47156
386,25107872285168544,3128,1251099,1162401494684,1055,24869770361411240,1203967,2073,238101923757304,47132
387,25418973672435766,3123,1253253,1176804336687,1060,25179829239366506,1208339,2063,239144433069260,44914
388,25427056571856294,3126,1255284,1177178544993,1062,25189132235632787,1210423,2064,237924336223507,44861
389,25480925138421432,3142,1257356,1179672460112,1063,25241025298013373,1212598,2079,239899840408059,44758
390,25522388224360752,3136,1258922,1181592047424,1066,25282606999073980,1214068,2070,239781225286772,44854
391,25528807081252267,3133,1260366,1181889216725,1066,25289944869680588,1215517,2067,238862211571679,44849
392,25527915779761335,3134,1261971,1181847952767,1066,25285693751402698,1216637,2068,242222028358637,45334
393,25470229362739641,3131,1263403,1179177285312,1074,25231907810718669,1219792,2057,238321552020972,43611
394,25488557413704016,3122,1265212,1180025806190,1079,25252649703411592,1221028,2043,235907710292424,44184
395,25227525931327401,3123,1267017,1167941015339,1090,25005443744387501,1224204,2033,222082186939900,42813
