stake_address,cred_type,total_balance,utxo,rewards_available,status,delegated_pool
stake1uye6e9nx8x2qxau6pj2escwg2ypyejfsy0ahfzt8qxxpmsc3kkvj6,key,0,0,0,registered,
stake1uxam4j3rvkq0vd3842qj7frldxm0ylny44nvmzqztcr2ceq4a2xtz,key,173656837,0,173656837,registered,
stake1u9nvcnvmjgk4csau5larmhla2eqtp7fvsvxvzxt593a8msqvs4fzx,key,82006780,0,82006780,registered,
stake1uyhsm8k53n55r245qftpxgnqcus7kz0y0m6rhffq9zzjw5g3ewj06,key,0,0,0,registered,
stake1u88586f89ltx89spevzjzjdxyehjnyct0l3kmseylplwk3qe8d7d2,key,0,0,0,registered,
stake1uy0rfwuajr8693e7dmg2zjwej25n0zjagugxt22knzugm2qrw7xs4,key,0,0,0,registered,
stake1u954xrqq4cym9vptujqethk4vznas422lux6rxwmtzh98nq7mynrq,key,0,0,0,registered,
stake1uy6j03e2l3uzzcpkwmhx4vz8qsfcwtnlyjmkxwaqnj05swcf28hee,key,0,0,0,registered,
stake1u9az43570hqpz2rn0ulv4wdyjaef826xn9j2q87m56nlqnqqfm97w,key,0,0,0,registered,
stake1uyjkf4aat253kuzs9kpa6xpny0dmckfz0glc5xjkpt6fzxc8mqj87,key,0,0,0,registered,
stake1ux63y7pt3pn7xawk6w82f963gc50jrtqxrjtpf4mejphazq52y077,key,0,0,0,registered,
stake1uxvs5hw3g39rd7sx9adrsz0wvgtx2tuasy02e76aucr8yzgelctms,key,4603471287,0,4603471287,registered,
stake1uxl682j227czukz43u099ajrunyh2wzjrlskyrmuznsv0mqs33y4t,key,0,0,0,registered,
stake1uxpspz2u9sh2asctz03ahxzxavgr3hem0ag08q9g696xulcq7udv2,key,0,0,0,registered,
stake1ux8v0k3s5fplhewk7xcnrpfuva76w04t9jucw0utj64ljdgvstg6c,key,191797429,0,191797429,registered,
stake1ux0k4spp95a5quhev526tzh27a0s58hw4jmcf9ufpmuvqsge25g4m,key,290001,0,290001,registered,
stake1uxe0yxqltz4qzzhvdfvye4qnehmp5ar37fuey6pvwzpdzsssa545j,key,0,0,0,registered,
stake1uxdnlwlh5wwkytx02mjqn4gmfn4ugy6d9kj0w3eus5arrag4cw3sk,key,0,0,0,registered,
stake1uxkcyestzcqpnv72euggshhzwgyaua4kh29v2vr0lphx8jc9xx9fv,key,0,0,0,registered,
stake1uxpesudy7mrgnkrra8q7ta4xtcwxus8q99ekcyn7glv07ss60c9zr,key,0,0,0,registered,
stake1u8xpg7h5y97mdxrx489c244zpr4zaewgrqya0a7n9trnqzg4r0262,key,0,0,0,registered,
stake1uyr5dgwngmvz6xxpwkxfjv23xtgxfenmpznmtwa5uf7y2cqde9dj6,key,0,0,0,registered,
stake1uys5s3knk2cq7avmdxfym8ed6u75vcs7u9xmhc7q00zw7wcym40kx,key,0,0,0,registered,
stake1uyet0ze8nee0dzw5m564xxj2lezl533fgsep9ngxf49gj4chp6cyg,key,0,0,0,registered,
stake1u9ym9q26cshdvjjv5e2ac89jj24a334rn5u0m52wru6tg9cs65c5g,key,0,0,0,registered,
stake1uyk83vvrxey4gvm64tuwfdrgyyrx2227jfrdcmawqqxvflsck2ge9,key,0,0,0,registered,
stake1u8zwax6kywl4zk4ne80chewl6lg76n7spyhr2634zng45rqlx223v,key,0,0,0,registered,
stake1u9gn2teahj0ss260f88cxty650yqjn535truefl2nfme4tq0js8qh,key,0,0,0,registered,
stake1u9cxrxtlxj7efzwevm0awh7vnsulytz94zvz3cpst2uxtaqgmg8js,key,0,0,0,registered,
stake1uyt062rs05rgsguryf2dsnkk82y0m6gef2k9s7zzha2pe3cp8h5cy,key,97431747,0,97431747,registered,
stake1u9pcylw70yf5k89hr27jj2pkuhtfzud7mca9p86pj2v277q6ztelp,key,0,0,0,registered,
stake1u8s535thl4huwnrsgjq6jkf22ezra3evl3sd4u6le7yg6ugs0anf6,key,0,0,0,registered,
stake178d8h28xeaeuqrhzh42wcftskgeqhfqay7emup2cyea4vtse0t43d,script,0,0,0,registered,
stake1u8xfe337w66rnlwhjxungn0jr4h7ttl2plqzafm9mpr6tnq00gp56,key,1000000,1000000,0,registered,
stake1uy6l3962q35xjpdnc68a94ph7080h08cxx3yulna2mygkkgxt4ahu,key,0,0,0,registered,
stake1u9zdkjk7envm7eanl8zrhqas6qsk42kyqhszgp3h70uxc6qrztmsg,key,174974,0,174974,registered,
stake1uyf725nq77em6xmlyqks92u2cae35rgck6ufke90wtj0jdcn6tqkc,key,17942617792,0,17942617792,registered,
stake1u8c5x56s24ah3vqmh27hnnc56plj53zr7a5ctzu056cfcpgg502lx,key,0,0,0,registered,
stake1uycwansgtnjm7zr84jqkdq7hc2y6up5nje5equuwcr4uptcd07tuj,key,0,0,0,registered,
stake1uyauqm5wmcufse6l3eucqfhdlccpk9rfhuqratl9ts572ysehsh29,key,5360952070,5360952070,0,registered,
stake1uxc9hgay5599903jfejtdxmhq3rulvalaenqgw4vs87paas0d9gqj,key,0,0,0,registered,
stake1uysrwlvfku2mvwvae8kqckmqwpsp5ktyacjd5pxvwnndyycz9dd9j,key,693764,0,693764,registered,
stake1uxja4fqj5u5gchgzjyufnk6yp85ye0grae3ng8al4v5q7tcvl5gpm,key,287369,0,287369,registered,
stake1u8652seg7xtnhgzvvs2mux6xcqvn9n4cqse7ev69uf5t3kqmpsxd2,key,0,0,0,registered,
stake17x94gul7k6qwextemchdjd8vq0w4sa5hs0l20ykylck626ga48egr,script,0,0,0,registered,
stake1u9ukfz0skk0dc7gc9y8l8l2gskh7wt2yrz9p6tz9czjrgggr3av35,key,0,0,0,registered,
stake1uxcpqxesgxne3dgyr3cs3wja5428x8ah3l5yjugfm5x7jxc6y3yt5,key,0,0,0,registered,
stake1uyn9n0pgr0klevn4gvg0s8463c6xaek58aagtvgph6amauc8m8k60,key,43037905,43037905,0,registered,
stake1uxm5hgqn74el64s5vs9668acdx4mj9fhkkddmngwud7q7agnl7tsj,key,0,0,0,registered,
stake1u9ejx0x6myglmr9znfzjp592k8s597ryq64cg3rh3jrfw0grmrdhg,key,0,0,0,registered,
stake1u85k4e7xlphcw523qpkyg9nl5dk2htlkd8x0xcj8ke45a2gyscsqe,key,0,0,0,registered,
stake1u8knf7f6aa7rstjlwgr2a9k6mq0llprsx86wd9nqhg0mz5cvrgkgy,key,0,0,0,registered,
stake1u90ytp8qe7h7x6l8qgyc0rxkwnt9z37zw9hra6xa0jyumrceq93n4,key,0,0,0,registered,
stake1uxqzueleptxpjcufkjr8ppfachge72tnd69xqsqund87g0cd6y7fp,key,13950070026,0,13950070026,registered,
stake1u8y62pxt495th68zmw9jkgehvp8jyn0cuclqkajkauztz5q37xvnc,key,0,0,0,registered,
stake1uylry35j77pg8dhhnjyhr7hwxe332c2yd43y28gtffs6udckm3u39,key,0,0,0,registered,
stake1u9395dnc7rjv24t6dc0ztl6v9lsx3w2lywmlutmulaz6kyc5qlq3j,key,0,0,0,registered,
stake1u8d6j44sn8lq5t7yjhzdqraqd9rqlfaq4vzrgswp5c086qqhhvtgh,key,0,0,0,registered,
stake1uygkw79yvg35c965f7cvpw9vamgpx5efwg6swkt7059z6lscm40xj,key,75573680,0,75573680,registered,
stake179ek9f6c7hxzemdct2fyvjhukdt2xuf5s74tsyd6q0hw63cr7lpwu,script,0,0,0,registered,
stake1u8cy9fxgfaagxmjmty9wr92td8v6900hqtmwndq4mhx4e9cpuryqj,key,0,0,0,registered,
stake1ux7s7dletvql6tncc6yh6m26aucgske3ypm6lwdkmqn5yqshdt8vt,key,0,0,0,registered,
stake1uyh8ty6x2s4gwmwrax6njdc4u5f86jwje8ydnl593rnexncg7zwkp,key,0,0,0,registered,
stake1ux0kwu3ga4ura4ezkw54zndxyr958zrsd26xh6vf9tsmhpgjpwz0p,key,0,0,0,registered,
stake1uyjl5xz6kf2ywv3d3ynu9fny4urcfa9z6gfw6ak9vh0jt5qz96hrl,key,0,0,0,registered,
stake1u9mggrss6y5mlj460jngs06de802sgaspnsq3xsjk7qkehg0m6pqk,key,0,0,0,registered,
stake1u8srv4kaw3jh000w36res37n27lsvnk22g53rleqke332xc8f2u68,key,0,0,0,registered,
stake1uxhg0dmcw63s7eck37cz4dh59ezvhemfl0jupceq2wadu4g2qfm72,key,0,0,0,registered,
stake1u8eucm8kxfsn6c3nr42x4llsy4a327pa8xupk3aa02dx49swwgr9h,key,0,0,0,registered,
stake1u94vwr87f4lxphgzsqq6jwkarqgj0sv5m3jv4f87yan0vqsk2jmek,key,0,0,0,registered,
stake1uyqdjf8hjc2l8ms0avaqqxuy0tmawummxc60qrm00y6yd8cq2hk7k,key,179751837,0,179751837,registered,
stake1uy7852u9jqas8j5tueudqd9whr3sv6azq2e4g4p3kuhpdpctphmwl,key,0,0,0,registered,
stake1u8h300cm3dugagpwfd9e33j2vqt4s6zmy7ne478tfrk02hgdve2zh,key,0,0,0,registered,
stake1uylkcw65u7llkk3uahknwzj9824k57whl77hnpemn7c3d3s7csrnm,key,0,0,0,registered,
stake1u97vq2dfzqqmgyfexgvns7xvehh0j9sc65zrwf85q5he0rcdeqzpf,key,0,0,0,registered,
stake1uydhmdht968eskfzf3me4cz2msl3ha6zfv2l5v6akk4jr6c5y3weg,key,0,0,0,registered,
stake1u9zlzaa8u8veweqzxkke285sfs2zww9enw87v8c5fz8kvrcfvmm0t,key,9158331,9158331,0,registered,
stake1uy9r8v2wra4qrnr5hrlazs9nld0p3724lnk4f3f73hvrzlcaj697x,key,0,0,0,registered,
stake1uxqf9rd9neuxh9lsvlpw7ulkysyd5f4kj7myh979erknduse6yf99,key,0,0,0,registered,
stake1ux2q8ajjc3e6t3kvn6w8ntzyj0fuf4wu8zs5qy0m2c9cssqgq2gzr,key,0,0,0,registered,
stake1uxxndkzggjx0ramga3wkhnyn092dyl37qfuljurwk0rr2ycvpzs0e,key,0,0,0,registered,
stake1uycrfk00dgm70ajqfwuk0tmzre9me2mhpzg0ju4nadtl2ds6w339a,key,0,0,0,registered,
stake1u9re7tydhdynxevy0p8tey9e3r6eavzxmwc99ve98ckufhspmxh7k,key,0,0,0,registered,
stake1uyvvzsvnxdlvrg0ew20kjr59rctt00g8carykp7gjvxfa4quuppzj,key,0,0,0,registered,
stake1uxku87qat9lddgu2ezkha7z57hkta28ydjur8uzqxynct5smu89ye,key,0,0,0,registered,
stake1ux0nc2shg7amxk4ek8cc5w8aw2098eg30emtcpzqxsa2jeqka4qsa,key,5808144056,0,5808144056,registered,
stake1u8vv546yzdlyaddxlh3qtxn4uxurhr0d6exwzwe3lh0f5vqruyalv,key,19912752411,19912752411,0,registered,
stake1ux36vf5d6k9ela6c8c8gudh98x6tkk3z0pkdtv32vna8mhqxfe3h7,key,0,0,0,registered,
stake1u8sc5lq5csv7l57xvf989urqrx5qyakhul33g8wzpnjlp5cte6cnv,key,0,0,0,registered,
stake17yqqqqqqqqzppskeuq0ga3u2k8wxh0pc87h8djlzdzd7kqsj7htfy,script,5153460448,5153460448,0,registered,
stake1uy76pzvlhmgjq77vwnyxct9tq3fy7y96zh0d90dgr9lr72cp9uf05,key,2031336,0,2031336,registered,
stake1uytrxe8m5vun9g732r5tzl6vycmsjyk6v4fg7tfzrszhm6crjwrtg,key,0,0,0,registered,
stake1u9xp8nhj484kdglcgdudu4mjt4mz5z00s4d78kz9xxppslgx3zr4h,key,0,0,0,registered,
stake1u9h94rxe4wxvzfkg8j2tt50sj8f92ksknqvfuvtw9pccy4cq0sv6q,key,10284095938,0,10284095938,registered,
stake1uxlkmax2j0ac3krq80ly928cn8yt7d2my98wj0mp3mw5ejskcjfdd,key,236245613,0,236245613,registered,
stake1u8q3kacnv4ng9j7flr69ntgzrtaumewk3xshpuhj0xvcqhc72y4h7,key,0,0,0,registered,
stake1uye79ekkajnv8khrrz883359xwh8fsdhtmrskhwzqy2q5jgldqtc5,key,0,0,0,registered,
stake1uy00hrhecxhd70af28asprckvsujym3k3nvpzv3c9xkuwycpt3uag,key,0,0,0,registered,
stake1u87qnf0elwdp4ugz9kf9hd3v9gg7g4ss74qy9k4fvfvhxzsk20cyk,key,0,0,0,registered,
stake1u8xa6j3rw5refa6d4nt4p5aarc5709h93ugf8y5fjjreqzc9n3h98,key,0,0,0,registered,
stake1ux0vw0fdqdpqpusax0pr0xyxxcjpphwev2dus3paqkr7nlq3snwun,key,0,0,0,registered,
stake1u8tk4hy24h20k7vcz6rk72lc99pz5969py5jjyl0h9zm89csjm7hu,key,0,0,0,registered,
stake1u8fpzq9gngpphfr4yu6laj9a0cj4htzzu8t7plsevg6320qld32s6,key,0,0,0,registered,
stake1uxp45uua52hn8t4peul2rx2cy2u66wrar8y4r2ptjm50jqgmnqmgz,key,4685224,4679360,5864,registered,
stake1u958jr8pm33f495c5250j44xuv64facurvulrwvpvazxh2cyq7nr3,key,0,0,0,registered,
stake1u8ulehsswq4v52wpa8evf69f6sg9jut3pq3wwxuzzdt9zmsav6fe5,key,0,0,0,registered,
stake1u8n9d74jdfr8t08hd00v2uygwupgegp0jg90pla6al3psmcam63lx,key,0,0,0,registered,
stake1uykm0j6r58lus59klpd76dmq36xulhtsdy2xf43r48dm8rcx9mq9w,key,4787678,4787678,0,registered,
stake1ux7ze6tanzrd7j03hujhqwcvsww7ygrv0j98fz4utjmymhqz0szsc,key,25122854656,0,25122854656,registered,
stake1u8e97hw2xm8en65gm9vzwuhvnz7e3y3f0q25yu563ztyfwqxawzxp,key,0,0,0,registered,
stake1uyrmnu3rq9hm5903223sepvn0540088vlk977hfask3g03cvewda5,key,0,0,0,registered,
stake1u97q7vxjkrp0lf5xv7t7hpjj6dlwz05smgm47yecapps64g838grc,key,0,0,0,registered,
stake1u96mhwcar874exz27a2ggpy3t5lj22jlw2cj5f3uy25gcsq425l68,key,0,0,0,registered,
stake1u9vfk8sxhwnk9m7rmharhjgemcmx2yl3zsq8yplj4rjj93cxrzqzf,key,51405854,0,51405854,registered,
stake1uxgf8wxvm7aj6wmrdutunqd8zdzqvh56zmw5zrwu8u0tx4sp2e9t5,key,0,0,0,registered,
stake1u8u43ns5jty99t3fs6y5dxel8r5e0ey7md3rqyyypaadapgdyep9t,key,0,0,0,registered,
stake1u83d2yl9g7l90wz5y2ezu7e82yja2hhdkxlw7lhsljhphng9xch3x,key,774399,0,774399,registered,
stake1u95tncftmfdps04ujc5qr43uw0qd665avj6jjnndp64eqncc83rxw,key,208508,0,208508,registered,
stake1ux47zkksefkvfmy3pgdjdm7tglxcqlh2snc5ql4ue22x6sq32tzsv,key,516068754,515877720,191034,registered,
stake1u9mumtsu5958dapaxxeqnwpkrm6exsq3f4nfh06de6vtwqg7ew83r,key,0,0,0,registered,
stake1uxazmje8gdrwu9mtvp3h7cdpnvg0l38k2uvxrkn5g0p6wzcd206kv,key,0,0,0,registered,
stake1u9glpuyq4gp6uwfj5ppn23aemwutsszqsa4m80vya08v5eqvc7v8r,key,1221748816,0,1221748816,registered,
