epoch_no,addr_type,unique_submitters,tx_count,total_fee_ada
225,legacy,7150,9040,2343.8607200000000000
226,base_key,8461,9258,1924.6808790000000000
226,enterprise_key,76,268,46.7732880000000000
226,legacy,7418,9596,2422.2667230000000000
227,base_key,8911,9973,2095.0821190000000000
227,enterprise_key,53,198,36.6879180000000000
227,legacy,9565,11932,2830.9489300000000000
228,base_key,12668,14676,3037.9482850000000000
228,enterprise_key,72,371,66.6423580000000000
228,legacy,14030,16056,3673.1442960000000000
229,base_key,11346,12959,2728.1263970000000000
229,enterprise_key,71,312,57.9967310000000000
229,legacy,8888,10441,2530.6955960000000000
230,base_key,14841,17179,3699.7322800000000000
230,enterprise_key,73,293,55.2233580000000000
230,legacy,11687,13960,3413.6995650000000000
231,base_key,20868,24346,5478.1598390000000000
231,enterprise_key,95,350,68.3910870000000000
231,legacy,19166,23651,5563.5907510000000000
232,base_key,23810,27501,6108.2513600000000000
232,enterprise_key,64,346,64.5592240000000000
232,legacy,14388,18093,4508.8297610000000000
233,base_key,18326,21364,4727.9713760000000000
233,enterprise_key,157,446,82.9839170000000000
233,legacy,10654,13831,3362.1226530000000000
234,base_key,18223,21563,4912.2309870000000000
234,enterprise_key,85,305,56.9189590000000000
234,legacy,9327,12085,3036.9194360000000000
235,base_key,20493,23794,5493.9838710000000000
235,enterprise_key,101,290,53.4909740000000000
235,legacy,7894,10086,2568.0459780000000000
236,base_key,17144,20093,4663.2235980000000000
236,enterprise_key,79,308,55.2722670000000000
236,legacy,9760,12336,3119.5797020000000000
237,base_key,17901,21386,4902.7401450000000000
237,enterprise_key,95,370,67.6174230000000000
237,legacy,12700,16347,3996.4340620000000000
238,base_key,24018,28072,6430.1425750000000000
238,enterprise_key,111,551,103.6165710000000000
238,enterprise_script,1,1,0.50000000000000000000
238,legacy,16121,20989,5159.6200510000000000
239,base_key,29018,34330,7818.8027890000000000
239,enterprise_key,178,677,125.1258280000000000
239,legacy,19304,24705,6217.1845080000000000
240,base_key,41636,49445,11059.685211000000
240,enterprise_key,318,817,150.3055410000000000
240,legacy,27928,35668,8859.0701440000000000
241,base_key,31161,36713,8146.3826170000000000
241,enterprise_key,269,869,161.8479170000000000
241,legacy,21091,26652,6382.4505490000000000
242,base_key,37969,44764,9885.3713610000000000
242,enterprise_key,300,902,171.1257560000000000
242,legacy,22331,28391,6848.5633000000000000
243,base_key,30565,36143,7982.8700500000000000
243,enterprise_key,185,607,109.0420330000000000
243,legacy,17239,21932,5276.2812930000000000
244,base_key,31403,36964,8180.9723400000000000
244,enterprise_key,188,512,93.2598790000000000
244,legacy,17676,22115,5242.5607020000000000
245,base_key,46029,54832,12169.540984000000
245,enterprise_key,285,931,166.3492030000000000
245,legacy,25655,32940,7709.0283230000000000
246,base_key,72738,86769,18952.278273000000
246,enterprise_key,262,1409,245.4707920000000000
246,legacy,41769,54189,12331.076512000000
247,base_key,89310,108658,23819.542593000000
247,enterprise_key,387,1743,303.3064870000000000
247,legacy,54143,66089,14445.009607000000
248,base_key,84327,97985,20865.674596000000
248,enterprise_key,515,2007,348.5062320000000000
248,legacy,41782,51474,11472.364450000000
249,base_key,99729,117147,24994.839486000000
249,enterprise_key,908,2536,436.5113570000000000
249,legacy,52761,65696,15073.412300000000
250,base_key,105245,123529,26413.251354000000
250,enterprise_key,1002,3456,593.1782430000000000
250,legacy,52359,65613,14825.126677000000
251,base_key,89220,103571,22134.294722000000
251,enterprise_key,1165,3642,664.4823010000000000
251,legacy,41603,50445,11702.755493000000
252,base_key,76560,90822,20113.570284000000
252,enterprise_key,1290,3673,645.3535130000000000
252,legacy,35796,45098,9999.7177560000000000
253,base_key,79099,93323,20822.312446000000
253,enterprise_key,1580,3812,677.6566170000000000
253,legacy,38161,48739,10980.049149000000
254,base_key,96235,113933,25457.909670000000
254,enterprise_key,7011,18160,3570.3774710000000000
254,legacy,48660,63864,14580.752891000000
255,base_key,78885,105673,22738.329432000000
255,enterprise_key,6278,25543,4848.3603650000000000
255,legacy,28350,37664,8774.2297100000000000
