pool_id,delegation_count,total_ada,saturation_pct,margin,fixed_cost,blocks_10ep,avg_ros_annualised,choice_quality
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1970,75078491,91.7,0.0100,340,10,2.2754,design_aligned
pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,22,75073861,97.3,0.0400,340,10,2.3247,design_aligned
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,2411,74939877,91.5,0.0000,340,10,2.3968,design_aligned
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,5479,74937961,97.8,0.0000,170,10,2.2123,design_aligned
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,9460,74897483,98.1,0.0100,340,10,2.2626,design_aligned
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,1910,74659667,96.5,0.0000,340,10,2.2340,design_aligned
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,112,74649824,96.8,0.0400,340,10,2.6774,design_aligned
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,42,74344208,98.6,0.0300,340,10,2.2194,design_aligned
pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,4,74071869,96.1,0.0300,340,10,2.1988,design_aligned
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,7115,74059621,97.4,0.0000,340,10,2.3323,design_aligned
pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,1,74033612,96.2,1.0000,340,10,0.0000,suboptimal
pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,1,74033211,96.2,1.0000,340,10,0.0000,suboptimal
pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,1,74030811,97.7,1.0000,340,10,0.0000,suboptimal
pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,1,74028410,96.2,1.0000,340,10,0.0000,suboptimal
pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,1,74027609,96.2,1.0000,340,10,0.0000,suboptimal
pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,1,74025209,96.2,1.0000,340,10,0.0000,suboptimal
pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,1,73990457,81.5,1.0000,340,9,0.0000,suboptimal
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,2569,73744849,95.0,0.0000,340,10,2.2715,design_aligned
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,5056,73640334,91.1,0.0100,170,10,2.2650,design_aligned
pool1q8x5k5wq6zsshdjcmyzcgzwaqd9mfg9fypaaew8xs597svmeyk4,1,73381721,58.6,1.0000,340,10,0.0000,suboptimal
pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,24,73066596,95.0,1.0000,170,10,0.0000,suboptimal
pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,3,72921993,94.6,0.0300,170,10,2.2226,design_aligned
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,12827,72670078,92.7,0.0200,340,10,2.4081,design_aligned
pool1fuge4duc9hfgm9xvu33llsntmnfcumsyw2d0away49v8gmphfzs,3,72588006,0.0,0.1000,170,0,0.0000,non_productive
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,321,71741181,94.2,0.0000,340,10,2.3689,design_aligned
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,3114,71560625,91.1,0.0000,998,10,2.3423,reasonable
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,906,71225369,92.4,0.0000,170,10,2.5415,design_aligned
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,1546,71129744,92.5,0.0000,170,10,2.4347,design_aligned
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,8,71097270,92.5,1.0000,340,10,0.0000,suboptimal
pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,4,71087996,92.2,0.0300,340,10,2.2634,design_aligned
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,22,70626498,89.7,0.0300,340,10,2.3693,design_aligned
pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,10,70539491,91.7,0.0500,340,10,2.2155,design_aligned
pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,221,70385925,91.7,0.0400,340,10,2.5999,design_aligned
pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,10,70341174,91.4,0.0500,340,10,2.2011,design_aligned
pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,8,70335065,91.4,0.0500,340,10,2.1184,design_aligned
pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,8,70198667,91.3,0.0500,340,10,2.1029,design_aligned
pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,10,70191253,91.2,0.0500,340,10,2.3187,design_aligned
pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,11,70074004,91.1,0.0500,340,10,2.2944,design_aligned
pool1kl2vuauwfc5k0avf874ym5tcm04ywa22frleszhujeccj4va3lt,4,70060015,89.1,0.0500,340,10,2.3818,design_aligned
pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06,6,70054612,91.1,1.0000,340,10,0.0000,suboptimal
pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,9,70050967,91.1,0.0500,340,10,2.2511,design_aligned
pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,10,70045706,91.1,0.0500,340,10,2.2156,design_aligned
pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,7,70042840,91.0,0.0500,340,10,2.0760,design_aligned
pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,13,70036559,91.0,0.0500,340,10,2.0443,design_aligned
pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,8,70026927,91.0,0.0500,340,10,2.2098,design_aligned
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,9,70025249,91.0,0.0500,340,10,2.0828,design_aligned
pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,5,70025002,91.0,0.0500,340,10,2.0998,design_aligned
pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,4,70024287,91.0,0.0500,340,10,2.2631,design_aligned
pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,4,70023662,91.0,0.0500,340,10,2.2608,design_aligned
pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,4,70023315,61.4,0.0500,340,10,2.1104,design_aligned
pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,5,70023262,91.0,0.0500,340,10,2.0319,design_aligned
pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,5,70020826,91.0,0.0500,340,10,2.2587,design_aligned
pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,6,70019923,91.0,0.0500,340,10,2.2077,design_aligned
pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,5,70019724,91.0,0.0500,340,10,2.0960,design_aligned
pool1fpvs8h5q5kwpz4k2yd0vw90dgdxacr3ef508tzzewm0kysdt4eq,5,70000011,91.0,1.0000,340,7,0.0000,suboptimal
pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,3074,69569743,86.8,0.0000,340,10,2.3970,design_aligned
pool1l92vxagssugcsu4wyhvnjd0t6dlqjjfrxkt8v4qaucgmq8t3j3s,3,69568797,0.0,0.1000,170,0,0.0000,non_productive
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,3263,69500797,88.0,0.0100,340,10,2.3320,design_aligned
pool13k6tphjfsgqdq7h27p4x86ruchcdg2x073luw8pndh3ajxvwvja,2086,69248063,86.0,0.0100,340,10,2.4399,design_aligned
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,4571,68548564,95.8,0.0000,340,10,2.2042,design_aligned
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,844,68354521,89.9,0.0000,170,10,2.4410,design_aligned
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,5306,68348226,96.8,0.0000,340,10,2.3284,design_aligned
pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,6571,68131207,88.5,0.0100,340,10,2.2798,design_aligned
pool1yh7ksvg54nger73ldnf22cgwyh0dnm4aerahdd0kdukjqeacy32,29,67609019,99.5,0.0500,340,10,2.2118,design_aligned
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,1526,66885352,86.6,0.0100,170,10,2.2458,design_aligned
pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,4300,66784820,86.1,0.0000,340,10,2.2114,design_aligned
pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs,2923,66404411,87.7,0.0000,170,10,2.2573,design_aligned
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,2313,66215730,88.6,0.0050,340,10,2.2259,design_aligned
pool1lu2luhmkyayq9njh848kfknn6evwzmn3gzsxar7z3sttg7grxcm,3610,66049789,78.6,0.0400,170,10,2.1265,design_aligned
pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,3265,64675442,88.5,0.0300,170,10,2.2808,design_aligned
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,1459,64221791,86.9,0.0100,170,10,2.2185,design_aligned
pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,4152,64122576,83.4,0.0050,340,10,2.2823,design_aligned
pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,894,64087531,83.8,0.0085,340,10,2.4025,design_aligned
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,5133,63791336,82.9,0.0090,340,10,2.1939,design_aligned
pool1jakl9kqhx87ywc7fcxweaxvna9khxhzyh6v8j70u6zpaxa45ghh,3,63436801,0.1,1.0000,170,0,0.0000,non_productive
pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,1026,63357979,79.7,0.0000,170,10,2.2876,design_aligned
pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj,3454,62569831,73.5,0.0000,170,10,2.1003,design_aligned
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,4,62494580,67.2,0.0300,170,10,1.6134,design_aligned
pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x,2404,62245584,85.1,0.0050,170,10,2.1384,design_aligned
pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,2,62072330,68.8,0.0300,340,10,2.3609,design_aligned
pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn,2976,61621154,79.3,0.0000,170,10,2.2777,design_aligned
pool1vkc0dvuf8rxrch87umfayacgglrh8f88ef0f64xrdue5u2xjwfm,594,61507244,80.1,0.1000,345,10,2.1519,reasonable
pool1u2fuz3fn5dfphf0cu0sewm4rnera445avenggle9sl4hy7rjzgv,11,61403716,77.9,0.0500,340,10,2.0788,design_aligned
pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,4321,61332446,79.3,0.0100,340,10,2.2003,design_aligned
pool1m0drnjxsvnlesq0rwmur2rh6lenuql57jfzd6cf6aegj2cv7ugy,1864,61195108,78.0,0.0150,170,10,2.3309,design_aligned
pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,992,61083638,82.5,0.0100,340,10,2.3159,design_aligned
pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,2,61034290,79.1,0.0300,340,10,2.2184,design_aligned
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,3050,60479866,78.0,0.0200,340,10,2.1134,design_aligned
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,8537,60251068,77.4,0.0199,340,10,2.2984,design_aligned
pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p,33,59994970,77.3,0.1000,345,10,2.2464,reasonable
pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,2075,59722048,71.7,0.0090,170,10,2.3826,design_aligned
pool1f9934hk9awd25mmxl0dd2haqvda9nlquwnh5pv64hs42znl07zj,9,59562584,73.8,0.0300,170,10,2.2594,design_aligned
pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,306,59503760,78.1,0.0250,340,10,2.2679,design_aligned
pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,2940,59390067,73.0,0.0000,170,10,2.3295,design_aligned
pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,31138,59300505,77.2,0.0400,400,10,2.2247,design_aligned
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,10070,59298415,72.4,0.0199,170,10,2.3782,design_aligned
pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2,3247,59270120,81.3,0.0150,170,10,2.1139,design_aligned
pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,33,58997895,104.4,0.0300,340,10,2.0695,over_saturated
pool1dl4695wfl79k7gtzt87gsf8gsqeq97yzuvaq0d4zxhz6c0nlf4g,45,58914111,72.0,0.0800,340,10,2.2084,reasonable
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,2,58844705,76.3,0.0300,340,10,2.1626,design_aligned
pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,2717,58708626,73.0,0.0300,170,10,2.4386,design_aligned
pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,3299,58227209,74.4,0.0090,170,10,2.4048,design_aligned
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,2364,58196943,76.5,0.0100,340,10,2.2338,design_aligned
pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,8492,58025195,73.1,0.0300,340,10,2.1375,design_aligned
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,10413,57483826,75.3,0.0150,340,10,2.2068,design_aligned
pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,6129,57039465,73.7,0.0100,340,10,2.2319,design_aligned
pool1xt7mjrtnsew3v33lu8sf93upf20sxhmcrfnpm82ra46yxk7uy45,1,57000082,74.1,1.0000,340,10,0.0000,suboptimal
pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,650,56819494,82.3,0.0000,170,10,2.3413,design_aligned
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,1500,56528493,73.8,0.0100,340,10,2.3614,design_aligned
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,6448,56346517,69.2,0.0200,170,10,2.3634,design_aligned
pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,2268,55922999,73.5,0.0069,300,10,2.2218,design_aligned
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,5720,55910969,72.6,0.0150,170,10,2.3101,design_aligned
pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,26837,55045470,73.1,0.0400,400,10,2.1127,design_aligned
pool1qfxukshs4fkcrflzdnxa2fdza5lfvew3y6echg8ckaa4q8m5hyf,4948,55024750,74.3,0.0150,170,10,2.2056,design_aligned
pool16eua0zalaln7q0s9u7jzlyygqad0pu2l2qdxx8r8ueqrw2jdhqf,5,54629254,71.0,1.0000,340,10,0.0000,suboptimal
pool1cunvnkjkzh2lna593sjmkylcr3r5rmxdpr8r9u6pfuer72p24x4,8833,54603377,72.7,0.0600,170,10,2.2101,reasonable
pool1wvaj307ee8jfewv9qjtgk0q3elmpe5lz4n2dec2303062f7dc4c,26,54006226,73.4,0.0500,340,10,2.1008,design_aligned
pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,1717,53972362,54.8,0.0010,340,10,2.3837,design_aligned
pool1cf7mqj0xd8z4jqhr7nf565mxuvepk8euv5t6ehmuwe49kfz9llr,342,53740919,72.6,0.0050,340,10,2.3677,design_aligned
pool1q5q3rld4nll02w8sqhf9582jcf22t99yt27z0pqksvpnv4rdra9,2,52749880,68.4,0.0300,340,10,2.0973,design_aligned
pool1up53z2kadt6l5xs359ckx477rpyvyg3favh25qrhqt2ujclpq3h,58,52383240,69.8,0.0100,340,10,2.2150,design_aligned
pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,1098,52223121,66.5,0.0100,340,10,2.3771,design_aligned
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,6095,52132068,65.9,0.0250,170,10,2.2775,design_aligned
pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu,20469,51904556,67.8,0.0400,400,10,2.3021,design_aligned
pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,3535,51854992,64.7,0.0100,340,10,2.1572,design_aligned
pool1tdvqgy6mq7lx7d345e276xmgmhh3s4zj8dzu6xzq5m7rx4tzkg2,437,51437201,67.1,0.0100,170,10,2.1876,design_aligned
pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34,597,51387677,70.3,0.0000,170,10,2.1926,design_aligned
pool1rmpv0h0pecysach8tj06vxx9wku2pdm74mk9cunx759v58q0hu2,239,50898395,65.5,0.0350,340,10,2.2837,design_aligned
pool1wm5pnu72efdcvjm34r7ykkxx2h549swddjrn6r2aqy3tvjc4l57,5,50430890,65.4,0.1000,170,10,2.2943,reasonable
pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j,29542,50276731,65.6,0.0400,400,10,2.1844,design_aligned
pool1pp7tn2w6ken4rpfcjwcdup3g4m5gcdhc9lgvrm3mnxz5stmrhq2,2569,50151152,65.0,0.0399,340,10,2.3197,design_aligned
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,2418,50084446,66.2,0.0250,340,10,2.2018,design_aligned
pool19l206haluae6wyzm7tjpt3gln9paa5m9s4fedec2u09fqz300ht,2,50006985,65.0,1.0000,340,10,0.0000,suboptimal
pool1wdujj7tmux5nuwnpeksgncendr3mj8ecsjcddpzx9gewc3flp4r,3,50000385,65.0,1.0000,340,10,0.0000,suboptimal
pool1jzk8rwf2fs5l02dmm6pm5tnw9stmd8jpmvsy54085vu2u2656re,4,50000222,65.0,1.0000,340,10,0.0000,suboptimal
pool1dzdxps32uqhva9q9urx4lm7m0nhlczjjccwy9kv4t2d3krsn4m7,5,50000194,65.0,1.0000,340,10,0.0000,suboptimal
pool1fvgmxt3688a5zl6amhvaqk9tmvk3lhxkgdsta6yj3czuy5hjwfy,1,50000076,65.0,1.0000,340,10,0.0000,suboptimal
pool1swuyjknhewtqcmh583jjpvlcl0p9h9hrt5l2f3v2hl6gchqrn40,2,49999975,65.0,1.0000,340,10,0.0000,suboptimal
pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,3551,49968468,67.1,0.0250,340,10,2.0940,design_aligned
pool1dxwgzj66pual956mnv9delkelg873yvgr2dd8s279m0hxqvr475,3191,49749571,64.4,0.0100,340,10,1.9879,design_aligned
pool1a0kp4vl4fh0p0rs8s08rm7qq3vkj3epwraayk3sdgm8sz0zwt7t,1308,49458477,63.3,0.0100,340,10,2.3141,design_aligned
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,867,49080861,64.5,0.0100,170,10,2.2004,design_aligned
pool166dkk9kx5y6ug9tnvh0dnvxhwt2yca3g5pd5jaqa8t39cgyqqlr,3468,48898867,63.3,0.0090,170,10,2.1285,design_aligned
pool1myvgx4ef424e6nw2strqq7dxcepav52plyyhxrk0avaw7y098l2,1120,48802492,70.9,0.0200,170,10,2.3187,design_aligned
pool1rct5guwnp6nk9f4ldn5tr3s42j0nm5rxeayv56lxua5ck47ex39,2468,48547885,64.7,0.0100,340,10,2.1901,design_aligned
pool1w6l6rvhxtym5psec3mvgrjlg28d6hrv8g9jjexadzmxfgndfg2f,1137,48291013,62.5,0.0250,340,10,2.2893,design_aligned
pool1fpu5xurq3jx5rn626ejcx0dzzzk5lmtvdl2qkj9l4kw2sjp50dz,244,47847635,62.0,0.0250,340,10,2.1589,design_aligned
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,6537,47522277,59.0,0.0200,340,10,2.2110,design_aligned
pool1t6ek99u2dzj8sr606uqm3uz0tt4ejr4cpvwtqfwen6p2z57rrst,95,47138262,62.3,0.0800,340,10,1.9906,reasonable
pool1qakys0fxx5p2fxcnsc2tyjpqa88q7qgtdh5t3a32hplv6fg25r9,2311,47105177,63.6,0.0250,340,10,2.2414,design_aligned
pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,5296,47052645,60.5,0.0000,495,10,2.3184,design_aligned
pool1p70svj9zrg7lgzkdn8udlslry0t27qs8r9tz9lr955v2yfna2rl,8,46806335,60.7,0.0200,170,10,2.2461,design_aligned
pool1pmm654jfx088td54ekkkd0j28x6r5gnjdhnutzggursrxjnpk2y,2624,46787431,55.1,0.0150,170,10,2.5255,design_aligned
