epoch_no,reserve,treasury,circulating,utxo,unclaimed_rewards,deposits
317,10972584901107006,788297676230791,33239117422662203,32672588710054451,562382857445601,3893092000000
318,10953227838823001,794490731721927,33252281429455072,32681602193624646,566512050278324,3915062000000
319,10933650872361432,800775096758125,33265574030880443,32689654871836478,571754896867156,3930392000000
320,10914331394835612,806985387511233,33278683217653155,32696853358637129,577641621267691,3946080000000
321,10894905349913180,805605092526580,33299489557560240,32704874454434833,590419673650405,3961876000000
322,10875612782714797,811794260532363,33312592956752840,32716201634562781,592167821131710,3979552000000
323,10856555549633463,816782078123190,33326662372243347,32724392239827130,598042421478257,3986056000000
324,10837286615744764,822987529535214,33339725854720022,32731876011176488,603629305680682,3994438000000
325,10817894577514127,829237846580369,33352867575905504,32759281322025844,589369717457730,3998420000000
326,10798756714539428,835407607356681,33365835678103891,32768450205518457,593184262602320,4004206000000
327,10779457383188418,841610183661313,33378932433150269,32780739088941136,593960367287969,4006228000000
328,10760324733104603,847806215028479,33391869051866918,32785792975348335,601827825137762,4018634000000
329,10741397939952327,853941152115025,33404660907932648,32796014502241801,604388768988260,4030428000000
330,10722297918395194,860166383169807,33417535698434999,32804235595392307,609032481481789,4035164000000
331,10702736716126709,866276896064357,33430986387808934,32812593237680692,614139456648623,4037702000000
332,10682871684482153,872471870892203,33444656444625644,32827704099081302,612735924683037,4039940000000
333,10662954751304020,878653307632686,33458391941063294,32837574562549516,616559980225352,4045582000000
334,10643350776202190,884736526609247,33471912697188563,32844755848985308,622896940125234,4050532000000
335,10623895506123552,890778684245517,33485325809630931,32851166289141579,629909087326996,4057512000000
336,10604486697782318,896790999922300,33498722302295382,32859998950871315,634456643369628,4060880000000
337,10584926320452051,902856542906841,33512217136641108,33029849139877684,478112823971922,4063148000000
338,10565374767957279,908925569281222,33525699662761499,33036876403214478,484594632729414,4055378000000
339,10545586696000514,915064913598237,33539348390401249,33049183983459762,485934577003674,4057408000000
340,10526055083287405,921148142062990,33552796774649605,33057322845997466,491248043339324,4057604000000
341,10506491829002854,927231126863356,33566277044133790,33064119556618594,497940254652940,4057230000000
342,10487149571006994,900379780082021,33612470648910985,33071477029117253,536768018195898,4056594000000
343,10467739665223957,906447014546351,33625813320229692,33080410342405149,541185425012681,4053856000000
344,10448049960041700,912584295685928,33639365744272372,33087098160032188,548046449458004,4058794000000
345,10428470110767403,918713205275544,33652816683957053,33123689789929054,524924606265896,4063368000000
346,10409105745481118,924761379220192,33666132875298690,33133875758453299,528068104528885,4067926000000
347,10389506871116964,930867659133409,33679625469749627,33140794655699543,534639975778029,4074622000000
348,10370377949854532,936834108750911,33692787941394557,33147484850058440,541108006653482,4072364000000
349,10352411929782702,942432272103687,33705155798113611,33154441147681908,546514582153953,4076276000000
350,10333899043124872,948203440354410,33717897516520718,33159884972435104,553806216406914,4080786000000
351,10314641202700475,954249374293574,33731109423005951,33172428054798808,554482656901505,4083576000000
352,10295428286983073,960277877068492,33744293835948435,33179737022473358,560332039059345,4082982000000
353,10276330879384622,966281863995315,33757387256620063,33185128017540923,568037531654514,4087096000000
354,10257589126504652,972182782671244,33770228090824104,33192389381696623,573627045952540,4090350000000
355,10239288792981608,977973384876487,33782737822141905,33203028574401872,575471834768357,4091296000000
356,10220679892460660,983837643868650,33795482463670690,33208223860441128,583035915923488,4095378000000
357,10201748722980993,989776809984523,33808474467034484,33215004893769643,589255323401602,4098212000000
