ticker,poolId,epoch_stake_ada,pledge_ada,owner_stake_ada,fixed_cost_ada,margin_percent,saturation_level
STAT,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,73489584.538647,750000.0,939133.990586,170.0,2.5,96.23968430482469
N/A,pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,73448423.620679,0.0,20436.125853,340.0,3.0,96.18578124120275
GMO1,pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,73383484.051234,35000000.0,36658453.623389,340.0,4.0,96.10073839191311
ADV3,pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,73292123.995348,250000.0,250425.867608,340.0,0.0,95.98109609169143
NORTH,pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,72896394.845716,100000.0,101007.034428,340.0,0.0,95.46286145109725
NORTH,pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,72875422.735164,100000.0,101008.923851,340.0,0.0,95.43539702452033
ADV2,pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,72812518.841526,250000.0,250431.139395,340.0,0.0,95.3530200332328
KILN1,pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,72634926.16109,100.0,2976.403523,340.0,3.0,95.12045015809599
WPBJ2,pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,72525876.416417,50000000.0,58534240.307564,340.0,4.0,94.97764198920055
CAFE,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,72444261.474551,100000.0,137703.555404,340.0,1.0,94.87076158854173
FIKA,pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,72218446.142894,50000.0,51463.032549,998.0,0.0,94.57504082258163
,pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,72176181.573493,100.0,2067.263721,170.0,3.0,94.51969245121761
,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,71949089.816235,76000000.0,71949089.816235,340.0,100.0,94.22230011781498
,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,71895393.326621,76000000.0,71895393.326621,340.0,100.0,94.15198085772975
,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,71845275.96421,76000000.0,71845275.96421,340.0,100.0,94.0863487118018
AUTO,pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs,71721800.197502,100.0,884.389725,170.0,0.0,93.92464867115149
KILN4,pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,71581352.432999,100.0,4478.12264,340.0,5.0,93.74072262772721
DARK,pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,71101614.370559,68000000.0,71101503.03069,340.0,100.0,93.11247251625797
TITAN,pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x,70902305.914779,250000.0,250002.026843,170.0,0.5,92.85146433416024
KOH,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,70534444.705208,0.0,0.0,340.0,5.0,92.36972468493843
,pool1hx4wc45qhhychdvquhem0q3madcs2mp4r0wllk70zkpxz7jhyf4,70520765.668718,0.0,70520765.668718,340.0,100.0,92.35181104232286
